id,image_file,caption
I68|Bear 2|A grizzly bear faces the camera.
I48|Barbeque 2|A man with grey hair feeding a child with blonde hair. The man is feeding the child a marshmallow on a stick.
I29|Archery 2|A woman preparing to shoot an arrow at a target with four bullseyes on it.
I25|Animal carcass 4|A jackal with its paw on the head of a dead antelope.
I16|Angry face 2|A brown haired woman in a black turtleneck sweater, showing her teeth and scrunching up her nose in an angry manner.
I34|Baby 3|A baby of East Asian appearance lying on his belly with his head lifted up.  He is wearing a knit cap and is looking up at something to his right.  He has a teddy bear next to him and several larger bears behind him.
I63|Beach 5|Two hands clinking champagne glasses in front of a beach at sunset.
I82|Bloody knife 1|A knife is lying on a white cloth with a large blood stain around it. The blade of the knife is covered with blood.
I51|Bark 3|A gray tree trunk with green moss growing on the bark.
I52|Bark 4|Wood bark with shades of brown and grey color.
I73|Billiards 1|Two solid pool balls, one of which is red, the other yellow, and one striped red and white pool ball.
I49|Bark 1|Brown tree bark with small black holes in it.
I646|Power lines 1|Power lines on a snow-draped mountainside.
I75|Bird 2|A swan with its wings outstretched alighting on a pond.
I188|Couple 6|A man embracing a woman from behind with his arm around her neck and shoulders.
I310|Feces 2|A pile of dog feces lying on the grass.
I271|Dog 21|A long-haired brown and white dog in a garden with a green tag hanging from his neck.
I264|Dog 14|A little terrier with its tongue hanging out and a bow on its head.
I326|Fire 9|A man-made structure engulfed in rising flames.
I321|Fire 4|A fire engulfing bushes by the shore of a lake after sundown.
I253|Dog 3|A black and tan german shepherd sitting on its haunches.
I297|Excited face 6|A girl sitting at a desk with a pencil in her hand and writing in a note book, with a large smile on her face.
I257|Dog 7|A husky lying with its face chin down on the ground and with its blue eyes open.
I208|Dead bodies 1|A row of blood spattered bodies laid out on the floor.
I284|Dog attack 3|A dog attacking a man running away from it.
I265|Dog 15|A wet dog holding a stick in its mouth.
I217|Desert 1|A signpost with handwritten signs in front of two rusting car bodies on a prairie.
I182|Cotton swabs 3|Q-tips in a jar, a few  show the handles in blue and yellow color
I173|Cold 3|A dried maple leaf lying in the snow with a sprinkling of snow on it.
I193|Crow 1|A crow perched on the roof eyeing something intently.
I280|Dog 30|A little dog with bows in its hair lying with its muzzle on the carpet.
I250|Doctor 9|Doctors and nurses wearing surgical masks, caps, gowns and gloves operating on a patient.
I292|Excited face 1|A woman with her hair in a spiky style and wearing a karate outfit talking.
I281|Dog 31|A brown dog with his paws and nose up against a fence and looking through it.
I190|Couple 8|A woman is kissing a smiling man on the cheek
I290|Eating 3|A happy young boy eating a red radish.
I277|Dog 27|A black dog with floppy ears resting his muzzle on a wall and looking out.
I266|Dog 16|A little brown puppy dog with a black muzzle standing on bowed legs.
I320|Fire 3|A fire truck directing a stream of water at a huge fire.
I192|Crosswalk 1|An intersection of two roads with pedestrian crossing marks.
I239|Dirt 4|Dry brown mud with dips and ridges.
I243|Doctor 2|Surgeons in masks, caps and gowns operating on a patient.
I252|Dog 2|A black and brown dog with floppy ears sitting in the grass.
I309|Feces 1|A pile of horse dung on sandy soil.
I210|Dead bodies 3|A partially clothed body lying on the ground.
I279|Dog 29|A mostly white dog with one brown ear lying on grassy ground.
I225|Dessert 8|A boy wearing a black and white striped hat, licking a chocolate and vanilla swirl ice cream cone.
I168|Cockroach 3|Orange and black bugs, crawling on brown wood.
I223|Dessert 6|A deep glass cup with a vanilla ice cream sundae, chocolate sauce, whipped cream and a cherry on top.
I319|Fire 2|A chair and some branches sitting in front of a large fire.
I327|Fire 10|Blackened branches in the foreground and fire in the background.
I197|Cups 3|White, green, blue, and yellow cups, sitting on a blue surface.
I220|Dessert 3|A brown cake with chocolate on the bottom, and orange slices and two white flowers on top.
I205|Dancing 7|Three girls in a ring holding hands.  They are outdoors.  They have brown skin and straight black hair.
I291|Elephant 1|Two young elephants with their trunks on each other, with an adult elephant standing behind them.
I322|Fire 5|A huge fire consumes stacks of wooden pallets.
I288|Eating 1|A girl eating food on a tray.  She has black hair, pink fingernails, and gold earrings.  Similarly dressed children are visible in the background.
I313|Fence 3|A black chain-link fence with some round lights visible on the other side.
I194|Crow 2|A crow perches on a tree branch.
I251|Dog 1|Two sled dogs in harness, running across a snowy field.
I198|Cups 4|A group of clean drinking glasses stacked up on a reflective surface.
I221|Dessert 4|A bowl of light brown and dark brown cookies, sitting on a wooden surface.
I262|Dog 12|A brown and white beagle wearing a black collar, sitting with its mouth open.
I269|Dog 19|A dog on a leash with its mouth open, looking alertly towards the camera.
I328|Fire 11|A forest is consumed by flames.  A river in the foreground has two deer standing in it.
I303|Explosion 2|A silhouette of burnt trees in front of a large fiery explosion.
I286|Drink 2|Three shot glasses containing a brown liquid, sitting on a black reflective surface.
I196|Cups 2|Five white mugs on a white countertop. Two mugs have stir sticks inside them
I165|Cliff diver 3|One man diving and another man jumping feet first into a river.
I268|Dog 18|A short-haired brown dog and a guinea pig, lying side by side on a red couch.
I233|Destruction 10|The smashed remains of an automobile in a pile of metal debris.
I238|Dirt 3|Dried brown leaves on bare soil. Half of the area is in shade and half sunny.  A bare wooden branch is across the top.
I287|Dummy 1|A bloody human body with its face blown off.
I185|Couple 3|A woman sitting apart from a man on one end of a bench by a lake while looking away.
I174|Cold 4|A styrofoam snowman with black bead eyes and a red bead nose wearing a red knitted scarf and winter hat.
I283|Dog attack 2|A man wearing protective gear being bitten in the arm by a large dog.
I383|Garbage dump 5|Magazines and pieces of cardboard boxes lying in the dirt.
I371|Galaxy 1|A spiral galaxy with a brightly glowing central region.
I599|Paper 5|A hand holding up a little cross-ruled notebook open to a blank page.
I375|Galaxy 5|A planet in space with stars visible around it.
I415|Gun 5|A gun lying on a table with seven bullets next to it.
I417|Gun 7|A menacing looking machine gun against the background of a blue sky.
I334|Fireworks 1|Green, yellow, pink and blue fireworks in burst patterns in the sky.
I432|Heart 2|Orange heart-shaped lock on a chain link fence with tall trees in the background.
I410|Guitar 1|A man playing a guitar, sitting on a big stone and wearing a head scarf.  In the background is a lake with mountains.
I377|Galaxy 7|Horsehead nebula with the pink light of hydrogen from protostars illuminating the background.
I386|Garbage dump 8|Brightly colored plastic and paper trash strewn around.
I390|Gazing 2|A man gazing out while standing on a rock on a seashore in twilight with shallow water around.
I332|Fire hydrant 4|A fire hydrant against a stone wall with plants on either side of it.
I345|Flowers 2|A bouquet of pink flowers containing mostly full blown roses, carnations and daisies.
I346|Flowers 3|Close up of a pink Gerbera daisy among other flowers.
I349|Flowers 6|A bunch of red roses with a couple of green leaves visible between them.
I445|Jail 4|Iron bars across a prison cell with a bed visible between the bars.
I406|Graveyard 1|Sunset in a small cemetery.
I348|Flowers 5|A bouquet of white and pink flowers with green leaves.
I450|Keys 1|Collection of different size keys with key rings and tags.
I335|Fireworks 2|A string of colorful starburst fireworks above a lakeside town
I439|Injury 3|The back of the hand of an old man with a wound exposing the bloody flesh.
I433|Heart 3|A heart-shaped detail of a wrought iron fence.
I336|Fireworks 3|Colorful fireworks in front of highrise buildings of a waterside city.
I463|Lake 9|Canoes on the dock of an alpine lake surrounded by mountains and forests.
I488|Meerkat 1|A weasel sitting upright like a human being.
I370|Funeral 1|A man walks amidst the crosses marking graves in a cemetery.
I363|Frustrated pose 2|A man holding his head in his hands.
I466|Lake 12|An alpine lake surrounded by mountains and coniferous forests.
I407|Graveyard 2|Gravestones in a cemetery with trees around the cemetery.
I343|Flood 3|Ducks swimming on a tree-lined flooded street.
I478|Lightning 5|Streaks of lightning striking the ground near a town.
I352|Flowers 9|Two wedding rings sitting on a bunch of pink roses.
I350|Flowers 7|A bouquet of blue and white flowers mixed with green leaves.
I351|Flowers 8|A bouquet of flowers with red roses, purple anemones and baby's breath.
I413|Gun 3|A machine gun set up on sand bags.
I347|Flowers 4|A bouquet of red, pink and yellow roses.
I480|Lightning 7|White lightning in a purple sky, with clouds above it and the silhouette of some bushes and rocks below it.
I338|Fireworks 5|A yellow firework going off in a black night sky.
I340|Fireworks 7|Many red fireworks going off in the night sky, leaving white trails behind them.
I425|Hangover 1|A bald man with his head down on a wooden table.  He grasps an empty liquor bottle in his right hand.  A shot glass can be seen behind his left arm.
I475|Lightning 2|A lightning bolt with many branches striking ground at night near a row of houses with lighted windows.
I467|Lake 13|Snowy mountains and pine trees reflected in a calm lake.  A parking lot is at the edge of the lake.
I454|Knife 2|A blade lying in the middle of a charcoal fire.
I403|Grass 5|Green grass with droplets of water on it.
I473|Lava 1|An arching eruption of molten lava.
I378|Galaxy 8|A blue, red, and yellow image of space, with a cloudy nebula in the center and stars around it.
I482|Lion 2|A male lion, lying on the ground with its head on its paws, viewed through a grey chain-link fence.
I481|Lion 1|A lion stands in front of gray rocks.  His head and mane are shown.
I330|Fire hydrant 2|A bright red fire hydrant.
I455|Lake 1|Pine trees, with a body of water and more pine trees in the background.
I443|Jail 2|A grimy prison cell with metal bunks and a washstand.  The rear wall is covered with graffiti.
I452|KKK rally 2|A large burning cross, with people in white robes and hoods circling around it.
I356|Food 3|A bowl of oranges. Four of the oranges are cut in half.
I442|Jail 1|Two rows of barred prison cells with a narrow walkway between them.
I447|Keyboard 1|A close-up of a computer keyboard.  The layout is for German.
I389|Gazing 1|A woman sits with her back to the camera looking out over a town.  The scene is dark.
I358|Food 5|Several containers of raspberries.
I399|Grass 1|A close up of rough green grass.
I361|Frisbee 1|A frisbee team with some holding frisbees lined up for a group photograph on a playing field.
I331|Fire hydrant 3|A silver fire hydrant with a red top against a wall and some vegetation.
I382|Garbage dump 4|A shopping cart abandoned in a trash strewn environment.
I477|Lightning 4|Two streaks of lightning reaching from dark clouds above to the ground.
I468|Lake 14|A blue body of water next to bright green trees in front of a grey and copper mountain range.
I502|Monkey 3|A chimpanzee sitting in a thoughtful pose inside an tiled enclosure.
I550|Nude man 11|A nude man making a sign with his right hand
I557|Nude man 18|A man posing in his jock strap in front of a mirror.
I619|Phone 1|An old rotary-dial telephone on a desk with a fountain pen and paper in front of it.
I547|Nude man 8|Two naked men wrestling on a mat while another looks on.
I620|Picnic 1|Parents holding their young kids while sitting on a blanket on a lawn in a park.
I610|Parasailing 2|A paraglider flying above bucolic farmland alongside a lake.
I631|Pigeon 6|Pigeons eating something spilt on a sidewalk.
I605|Parachuting 2|A paraglider in the sky against a backdrop of sunlight and dark clouds.
I583|Nude woman 20|A woman showing her breasts with pierced nipples.
I624|Pig 1|A spotted pig standing on one side of a two-wire fence.
I598|Paper 4|A piece of white paper on a bark-like surface.
I507|Mother 3|A pregnant woman with her hands above and below her exposed abdomen.
I600|Paperclips 1|Paper clips on a table with a bunch more in the background
I569|Nude woman 6|A woman lying on her side with her left finger under her chin. She is looking at the viewer.
I590|Office supplies 5|A desk calculator at the edge of a table, to the left is a stapler  and two pens.
I515|Musician 1|A man concentrating on playing double bass.
I510|Mother 6|A woman kissing her baby in a tender and loving way, holding her inside her arms.  The baby is happy.
I611|Parasailing 3|Two people parasailing under a large parachute with a tow rope going off the picture.
I500|Monkey 1|A monkey staring with its piercing eyes and its mouth wide open.
I603|Paperclips 4|A bunch of staples interlinked with each other.
I591|Opossum 1|Possum showing teeth in wide open mouth with a frightening posture.
I494|Miserable pose 1|A man with his hand on his forehead and his eyes closed with an expression of hopelessness.
I543|Nude man 4|Three shirtless men posing on the street in front of shopfronts
I555|Nude man 16|A shirtless man with a sunburn across his chest and shoulders standing with a drink in his hand and a smile on his face.
I516|Nature 1|Wildflowers and rocks in front of a road with purple mountains in the background and a glowing yellow sky above.
I571|Nude woman 8|A nude woman asleep on her side with her head resting on her hand.
I532|Nude couple 6|A naked man lying on top of a naked woman.
I627|Pigeon 2|A pigeon on the ground with some seeds scattered around it.
I559|Nude man 20|Three nude men posing on a beach with several clothed people in the background
I641|Police 2|Four men in army uniform and armored vests with their weapons pointed straight ahead.
I490|Memorial 2|Rows of white crosses in a graveyard with green grass.
I643|Police 4|Armed and helmeted police on board a ferry facing back towards a distant city across the water.
I537|Nude couple 11|A man having intercourse with his partner from the back.
I592|Orangutan 1|An orangutan with flabby cheeks watching something intently
I493|Miserable face 2|A little boy wearing a knitted hat looking very concerned.
I521|Neutral face 3|A smiling man with blue eyes and brown hair
I551|Nude man 12|A shirtless runner with headphones over his ears.
I587|Office supplies 2|A stapler with a blue top and white base sitting on a white surface.
I635|Pinecone 4|Four brown pine cones in a tree with no leaves or needles.
I503|Monkey 4|A monkey's hand, with black nails and brown fur, holding a black chain link fence.
I491|Memorial 3|Rows of closely spaced white crosses in a cemetery.
I520|Neutral face 2|A dark skinned man with black hair wearing square glasses. He has a short beard.
I634|Pinecone 3|Three brown pine cones in a green pine tree.
I549|Nude man 10|A hairy naked man standing in the shower, wearing a necklace.
I633|Pinecone 2|A backlit photo of a pine cone sitting on a blue surface.
I581|Nude woman 18|A woman wearing a black bra, underwear, and high heels, sitting on a white couch. The woman has a pierced belly button.
I597|Paper 3|A stack of white paper, fanned out near the top.
I618|Performance 2|People at a large indoor event held in a sports arena.
I589|Office supplies 4|Pencils, pens, and markers in a black pencil holder. They are pink, blue, red, green, and black.
I596|Paper 2|A yellow pad of paper on a speckled beige surface.
I586|Office supplies 1|A tangled pile of rubber bands.
I630|Pigeon 5|A pigeon with green throat feathers standing on a piece of wood.
I593|Ornament 1|A red, gold, and black Christmas ornament with a pink ribbon on top.
I565|Nude woman 2|A dark-skinned nude woman with tattoos on her forearms.
I508|Mother 4|A blond-haired woman kisses a baby wearing a blue and white striped cap and a blue coat.
I642|Police 3|Two motorcycle policeman are leading two long lines of motorcyclists on a long tree-lined street during the day.  The lines disappear over a hill in the distance
I541|Nude man 1|A bearded fit-looking man with no shirt stands looking to his left.  He has on a cap and a pair of work gloves.  He appears to be pulling off the left one.
I539|Nude couple 13|A silhouette of a man and woman in each other's arms, kissing in front of the waves on a beach.
I607|Parachuting 4|A man wearing a helmet, goggles, and a camouflage jumpsuit, jumping out of an airplane.
I594|Paintbrush 1|A paint brush with damaged and worn bristles lying on a brown and green burlap sack.
I661|Rainbow 2|A rainbow over a lake with a tree in front.
I552|Nude man 13|A shirtless man looking straight ahead with a grim expression.
I698|Sad pose 2|A woman with her back to us bending her disheveled head down.
I781|Solar panel 1|Solar panels arranged in a geometric fashion on a field.
I785|Soldiers 4|A large crowd of young soldiers saluting.
I649|Prison 1|Railroad tracks branching off in front of a train station.
I800|Storage 1|Shipping containers next to and on top of one another.
I759|Skydiving 5|Three skydivers in free fall.  One has just started deploying his parachute.
I747|Sidewalk 4|An elevated walkway paved with stones meandering past trees and houses.
I802|Storage 3|Multi-level stacks of beer barrels on wooden pallets.
I685|Rugby 1|Rugby players tackling an opposing player who has the ball.
I716|School 1|A woman demonstrating something in front of a class of children.
I721|School 6|Two young girls sitting at a desk in a room and writing in their notebooks.
I771|Snake 5|A diamondback snake moving on a sandy area looking menacing.
I774|Snow 2|Sand dune next to blue water, with particles of sand blown in the air.
I670|Rocks 3|A bunch of smooth wind- and sea-weathered rocks.
I681|Roofing 4|A tiled roof with a lot of broken tiles.
I680|Roofing 3|Stained brown semi-circular tiles on a roof.
I719|School 4|Barefoot children at recess in a school courtyard.
I656|Rafting 4|A group of youngsters wearing helmets, lifevests and waterproof clothes on a whitewater raft.
I665|Rock climbing 2|A man climbing a rock with rope and chain support
I754|Sky 1|Blue skies and white clouds over blocks of apartment buildings.
I653|Rafting 1|Rafters going over a fall in white river.
I783|Soldiers 2|An army officer standing while a group of men in uniform do jumping jacks in a dormitory.
I695|Sad face 8|A little girl with smudges on her face looking sad.
I723|School 8|Boys and girls in a classroom with some of them raising a hand.
I776|Snow 4|White coral reefs with a clump of coral sticking out
I652|Raccoon 1|A trapped raccoon looking through a wire mesh opening between two boards.
I726|Shark 1|A dark grey shark with a lighter underbelly swimming in the water.
I693|Sad face 6|A sad-looking little girl with long hair standing in front of a gate or fence.
I799|Stingray 3|A sea ray with blue spotted coloring  and eyes open wide swimming by.
I736|Shark 11|A shark swimming in the water its side fins and dorsal fins visible.
I760|Skyscraper 1|A square shaped tower building next to another similar building.
I787|Soldiers 6|Military personnel in ceremonial uniforms lined up in a row.
I727|Shark 2|A grey shark with teeth showing swimming in dark blue water.
I772|Snake 6|A black and yellow snake coiled up on top of some pieces of wood.
I733|Shark 8|A shark swimming in a body of blue water, with a second shark behind it.
I682|Roofing 5|Nine rows of reddish bricks.
I744|Sidewalk 1|Two sewer grates in the middle of a paved brick road.
I724|Seal 1|Two sea lions face each other with open mouths.
I734|Shark 9|A grey shark with five fins visible, swimming in blue water with a fish behind it.
I769|Snake 3|A black and white snake lying coiled in green grass.
I793|Spider 1|A spider in silhouette, hanging upside-down in its web.
I689|Sad face 2|A young child with blue eyes, wearing a brown hooded fleece sweater, and crying.
I664|Rock climbing 1|A woman in a green and white plaid shirt, rock climbing on brown rocks.
I666|Rock climbing 3|A man in a shirt with cut-off sleeves, holding on to a mossy rock while rock-climbing.
I741|Shot 4|An empty syringe lies on a hard light brown surface.  A needle at right angles to it is touching it at the end.
I720|School 5|A group of students, sitting in front of a blackboard with Asian characters written on it.
I651|Pumpkin 1|Four pumpkins of various sizes and shapes lined up in a row
I678|Roofing 1|A tiled roof with some tiles broken and some tiles missing
I674|Rocks 7|Turquoise, grey, and white pebbles.
I650|Prison 2|Barbed wire on top of a wooden picket fence.
I778|Soccer 1|A yellow and green soccer ball lying in a field near chalk lines.
I755|Skydiving 1|Seven sky divers in free fall in close formation.  Two divers have yellow smoke streaming from their boots and a third has green smoke.  Mountains are below them.
I708|Scared cat 1|A gray and black striped cat stares up at a much larger dog with a white muzzle and brown and black fur.
I767|Snake 1|A brown snake lies coiled on dry, leaf-covered ground.
I746|Sidewalk 3|Grey paving stones in arcs.
I779|Soccer 2|A close-up of a colorful soccer ball lying on the grass, with a stadium in the background.
I797|Stingray 1|A ray resting on the seabed with a small striped fish swimming above it.
I768|Snake 2|A close view of a coiled snake with red and black markings on the ground.
I675|Rollercoaster 1|A crowd of people in a red roller coaster car going down a slope.  One rider has his arms raised over his head.
I679|Roofing 2|Copper covered tiles on a roof or sloped plane.
I677|Rollercoaster 3|A yellow roller coaster full of people, coasting on a red rail.
I712|Scared face 4|A man covering his mouth with his hand. His eyes are wide in an expression of shock.
I852|Tornado 5|A thick column of a tornado approaching under a cloudy sky.
I854|Traffic 1|Night time traffic patterns on a divided highway.
I884|Wedding 11|A bouquet of flowers with a white ribbon lying on gray stone steps.
I857|Volcano 2|A smoking crater with a grey plume of smoke below a white cloud.
I880|Wedding 7|A ring tied with red and white ribbons lying on a small pink pillow.
I640|Police 1|Policemen wearing helmets and body armor lined up in front of a building.
I838|Tiger 2|A  large orange and black  tiger looking straight with its mouth open and the tongue showing.
I888|Wolf 1|A wolf sitting in a snow back licking its lips behind an enclosure.
I866|War 3|A black and white photo of a man in a camouflage uniform holding an assault rifle.
I893|Yarn 3|Four bobbins of orange thread lined up in a row.
I823|Swimming 1|A swimmer in a pool between lane markers turning her head to take a breath while swimming.
I889|Wolf 2|A wolf baring its fangs in a menacing manner.
I821|Surprise 1|Water being splashed on a bespectacled woman who has her eyes screwed shut.
I885|Wedding 12|A row of chairs and tables set up for a meal with red napkins and inverted water glasses.
I841|Timber 3|A pile of wood logs.
I859|Wall 1|Brown and grey blemishes on the wall of a house.
I824|Swingset 1|A metallic swing hung with chains next to the trunk of a tree.
I881|Wedding 8|Miniature bride and groom figurines on a wedding cake
I848|Tornado 1|The dark column of a tornado approaching a road with a vehicle on it.
I900|Zebra 1|Two white and black zebras in an arid area standing next to each other with one kissing the other on the face.
I894|Yarn 4|A spool of white thread on a green, white and yellow fabric.
I827|Thunderstorm 3|Lightning striking the water behind an airport with several military helicopters.
I830|Thunderstorm 6|Lightning striking the sea behind an aircraft carrier with several aircraft on its deck.
I813|Sunset 4|A body of water in front of some mountains, with a sunset in the sky above reflecting onto the water.
I3|Acorns 3|Five acorns arranged in a circle on a black background. Slightly wilted leaves are next to the acorns.
I748|Sidewalk 5|White, grey, and blue paving stones arranged in arcs.
I837|Tiger 1|A tiger with its mouth open.  It is lying down and has a chain around its neck.
I891|Yarn 1|A black and white photo of three spools of thread.  Two are upright and one is lying on its side.
I798|Stingray 2|An orange and dark blue ray in light blue water.
I669|Rocks 2|Different sizes and shades of grey rocks with smooth edges.
I647|Present 1|A green present wrapped in blue ribbon, a purple present wrapper in lavender ribbon, and a pink present with white dots wrapped in a pink ribbon.
I1|Acorns 1|Two acorns are lying on the ground next to some oak leaves.
I890|Woods 1|Two tree trunks and five rocks in the foreground, with more trees in the background partially obscured by smoke.
I858|Volcano 3|A volcano with smoke rising out of it, behind a green field and trees.
I228|Destruction 5|A dirty American flag and white shoe, lying in broken wood with plants growing through it.
I782|Soldiers 1|A line of soldiers silhouetted against a sunset background, standing in front of an airplane.
I872|Waterfall 1|A black and white image of a large waterfall, with the lights of a city behind it.
I887|Windmill 1|A modern windmill.
I204|Dancing 6|A group of hula dancers in green floral dresses with green and yellow leis around their necks.  They have garlands around their heads, wrists, and ankles.
I808|Sun 1|A closeup image of the sun, with stars and space visible in the top left hand corner.
I822|Surprise 2|A happy child with wide open mouth holding a toy cell phone to his right ear.   The child has black hair with fringes with big brown eyes, a yellow and white shirt.
I397|Goat 2|A white goat standing on hay and green grass, with its head low to the ground.
I840|Timber 2|Cut logs with the bark still attached, stacked on top of each other.
I853|Torture chamber 1|Torture tools, including a rack, cuffs,and chains. There is also a sword and some helmets in the background.
I874|Wedding 1|A man in a black striped tuxedo and white dress shirt, placing a wedding ring on a woman's hand.
I295|Excited face 4|A chef whose mouth is open, wearing a white paper hat and blue shirt with an embroidered star on the lapel
I865|War 2|A group of soldiers standing behind artillery which has just been fired. Smoke is shooting out of the artillery and the shell is visible just above the barrel.
I834|Thunderstorm 10|A lightning bolt striking the ground behind some trees.
I867|War 4|A group of soldiers running through sandy terrain carrying rifles.
I806|Street 4|A two-lane road with a solid line on the left and a broken line on the right to divide it. Dirt and trees are on the side of the road.
I826|Thunderstorm 2|An image of cloudy skies, with blue lightning coming from the sky and striking towards a tree below.
I804|Street 2|A straight two-lane road passing through brown treeless hills with patches of snow on them.
I868|War 5|Soldiers wading ashore from landing craft at Normandy.
I864|War 1|A black and white photo of a boy aiming a pistol.
I839|Timber 1|A pile of wood fills the bottom half of the image, with blue skies in the top half. White and grey clouds are in the blue sky.
I844|Toilet 1|two urinals side by side on a white tile wall.  A thin partition divides them. There is a rectangular flushing button above each.
I825|Thunderstorm 1|Dark clouds and a rainstorm threatening a town.
I847|Toilet 4|A toilet in a partially demolished bathroom with graffiti on the lid and the tank.
I761|Skyscraper 2|High-rise buildings with floor-to-ceiling windows next to a river. One of the buildings has a red elevator that runs down to the river.
I544|Nude man 5|Four shirtless men in black pants smiling. One of them men has his phone in his waistband. Two of the men are tattooed.
I259|Dog 9|A medium sized black and brown dog with stubby ears and a greying muzzle that is standing on a gravel and mulch bed.
I702|Sad pose 6|An old woman wearing a red scarf, with her hand held against her face. The background is very blurry - a house with grass in front of it.
I132|Cat 3|A black and white photograph of a kitten with a person touching its nose with his finger.
I56|BDSM 1|A group of people with bondage tools and clothing while a larger crowd looks on.  One woman's breasts are bare, another holds a whip.  A man who is smiling holds a whip.
I816|Surgery 1|A surgeon making an incision in the belly of a female animal with light brown fur.
I472|Lamb 1|A lamb with short fleece, running on green grass.
I528|Nude couple 2|A dark haired man wearing glasses and a white collared shirt, kissing a dark haired woman wearing a white tank top.
I534|Nude couple 8|A dark-skinned woman with a sheet wrapped around her, being caressed by a light-skinned man wearing a silver watch, in a bed with white sheets.
I730|Shark 5|A shark swimming in front of a reef, with its teeth showing. The front half of the shark is visible.
I464|Lake 10|A brown pier with low wooden guards on the side, in a body of water with large mountains in the background and a yellow sky.
I453|Knife 1|A black and white photo of a folding knife, pointing into a table at an angle, with silver circles on its black handle.
I166|Cockroach 1|A cockroach flipped upside down, lying on a red floor with rocks embedded in it.
I829|Thunderstorm 5|Purple lightning in a purple sky, causing a lens flare in the top right of the image.
I553|Nude man 14|Three shirtless men, looking at something to the left of the image. A black woman is videotaping them in the background.
I514|Motocross 1|A BMX motorcycle jumping through the air over a brown and green background.  The rider is wearing black and white motorcycle gear.
I103|Bungee jumping 3|A smiling woman wearing an orange top and blue shorts, held by a bungee jumping apparatus, suspended over water and trees.
I429|Happy pose 2|Young men and women wearing suits and dresses, carrying red and yellow balloons and looking up.
I672|Rocks 5|Different shades of grey rocks with smooth edges.
I545|Nude man 6|A shirtless man wearing green shorts talking to a shirtless man wearing blue shorts, standing in front of the water on a beach.
I663|Road 1|A green car with a person's legs sticking out the window, sitting in the middle of a road with trees on both sides.
I102|Bungee jumping 2|A falling man attached to a bungee jumping apparatus.  He is wearing a white shirt and black sunglasses.
