imageId|caption|label
I89|a man sitting on a couch holding a cell phone.|neutral
I90|a woman sitting on a bed holding a laptop.|neutral
I91|a man with a design and glasses is talking on a cell phone.|neutral
I92|a close up of a tooth brush with tooth paste on it.|neutral
I93|a man wearing a helmet and holding a baseball bat.|neutral
I94|a man holding a frisbee in his hands.|neutral
I95|a large black bear standing next to a stone wall.|neutral
I96|a train traveling over a bridge over a river.|positive
I97|a vase filled with flowers on top of a window persons.|neutral
I98|a close up of a blue and white vase with a flower in it.|positive
I99|a large clock mounted to the side of a building.|positive
I100|a building with a clock on the top of it.|neutral
I101|a man riding a skateboard up the side of a ramp.|neutral
I102|a man flying through the air while riding a skateboard.|neutral
I103|a man flying through the air while riding a snowboard.|positive
I104|a group of people sitting on top of a sandy beach.|positive
I105|a group of children sitting at a table eating food.|neutral
I106|a group of people sitting around a table with food.|positive
I107|a group of people sitting around a table eating food.|positive
I108|a man standing in a kitchen preparing food.|neutral
I109|a group of people on a small boat in the water.|positive
I110|a group of people standing on top of a sandy beach.|neutral
I111|a man sitting on a bed with a blue umbrella.|neutral
I112|a red and white boat sitting on top of a sandy beach.|neutral
I113|a table topped with a cake and a candle.|positive
I114|a red car is parked in a tall lot.|positive
I115|an old truck is parked on the side of the road.|neutral
I116|a car is parked in front of a tall meter.|negative
I117|a blue motorcycle parked in a tall lot.|negative
I118|a bunch of lamp that are in a garden.|negative
I119|a car parked on the side of the road with a surfboard cellular to it.|negative
I120|a car is parked on the side of the road.|negative
I121|a motorcycle is parked on the side of the road.|negative
I122|a car parked on the side of a road next to a fire hydrant.|negative
I123|a busy city street filled with lots of traffic.|neutral
I124|a group of cars that are parked in a lot.|neutral
I125|a large truck driving down a highway with lots of traffic.|neutral
I126|a group of people standing on the side of the road.|neutral
I127|a close up of a pair of scissors on a table.|neutral
I128|a wooden bench sitting on top of a sandy beach.|neutral
I129|a white toilet sitting in a bathroom next to a wall.|neutral
I130|a black and white cat is looking at the camera.|positive
I131|a close up of a cat laying on a couch.|positive
I132|a black and white cat laying on top of a bed.|positive
I133|a cat laying on top of a wooden table.|positive
I134|a cat laying on top of a blanket on a bed.|positive
I135|a black and white cat wearing a tie.|neutral
I136|a black and white cat is sitting on the ground.|neutral
I137|a black and white cat sitting on top of a wooden table.|neutral
I138|a cat wearing a tie and a vest.|positive
I139|a cat that is sitting on a wooden bench.|positive
I140|a cat laying on top of a wooden table.|positive
I141|a cat laying on top of a couch next to a window.|positive
I142|a gray and white cat is looking at the camera.|positive
I143|a cat that is laying down on a bed.|positive
I144|a group of baseball players standing on top of a field.|positive
I145|a man and a woman flying a kite on a beach.|neutral
I146|a couple of people standing next to each other on a bridge.|neutral
I147|a black and white photo of a building with a sky background.|neutral
I148|a couple of baseball parrot sitting on top of a wooden bench.|negative
I149|a group of people standing in a field next to a wooden fence.|negative
I150|a woman standing next to a red and white fire hydrant.|negative
I151|a woman in a pink dress holding a flower.|positive
I152|a woman holding a glass of wine in her hand.|positive
I153|a black and white photo of a group of children.|neutral
I154|a black and white photo of a group of people in a curve.|negative
I155|a group of men standing next to each other in a room.|neutral
I156|a black and white photo of a man standing next to a train.|neutral
I157|a woman and a child are standing on the beach.|positive
I158|a brown bear sitting on top of a lush green field.|positive
I159|a lifted eating a piece of food in a bowl.|positive
I160|a brown bear sitting on top of a rock.|positive
I161|a city street filled with lots of parking pole.|neutral
I162|a table topped with lots of different types of food.|positive
I163|a person flying a kite on the beach.|neutral
I164|a person is flying a kite on the beach.|positive
I165|a man riding a wave on top of a surfboard.|positive
I166|a large brown dog standing on top of a wooden table.|negative
I167|a black and white dog sitting on top of a wooden bench.|negative
I168|a large brown dog laying on top of a rock.|negative
I169|a black and white dog sitting on top of a boat.|negative
I170|a cup of wood and a doughnut on a table.|positive
I171|a small boat in a body of water.|neutral
I172|a wooden bench sitting in the middle of a snow covered field.|neutral
I173|a close up of a bird on a tree branch.|neutral
I174|a brown teddy bear sitting on top of a wooden table.|positive
I175|a yellow fire hydrant in the middle of a forest.|positive
I176|a man riding skis down a snow covered slope.|neutral
I177|a red fire hydrant sitting in the middle of a forest.|positive
I178|a white fire hydrant sitting in the middle of a snow covered field.|positive
I179|a man holding a nintendo wii game controller.|positive
I180|a close up of a baseball glove with a baseball glove.|neutral
I181|a pair of scissors sitting on top of a table.|neutral
I182|a white bowl filled with lots of different types of food.|neutral
I183|a man holding a nintendo wii game controller.|positive
I184|a group of people standing around a wooden table.|positive
I185|a woman sitting on a bench in front of a fountain.|neutral
I186|a couple of people that are standing on a beach.|positive
I187|a cereal that is sitting on a banana.|neutral
I188|a man and a woman posing for a picture.|positive
I189|a man in a black shirt is playing a video game.|positive
I190|a man in a hat and sunglasses is holding a banana.|positive
I191|a man and a woman are sitting at a table in front of a large building.|positive
I192|a black and white photo of an airport uses.|neutral
I193|a black and white bird sitting on a wooden fence.|neutral
I194|a black bird perched on top of a tree branch.|neutral
I195|a cup of wood sitting on top of a table.|neutral
I196|a cup of wood sitting on top of a table.|neutral
I197|a couple of things that are next to each other.|neutral
I198|a glass display case filled with lots of bottles of wine.|neutral
I199|a man flying through the air while riding a skateboard.|positive
I200|a woman holding a tennis racket in her hands.|positive
I201|a group of people riding on the industrial of elephants.|neutral
I202|a couple of women standing next to each other.|positive
I203|a man in a suit and tie holding a woman.|positive
I204|a group of people standing next to each other.|positive
I205|a group of young children playing a game of frisbee.|positive
I206|a group of people standing next to each other in a room.|positive
I207|a group of people standing next to each other holding umbrellas.|positive
I208|a group of people laying on a bed in a room.|negative
I209|a black and white photo of a person sitting on a bench.|negative
I210|a man laying on the ground next to a dog.|negative
I211|a woman wearing a tie and a vest.|neutral
I212|a man in a suit and tie standing in front of a window.|neutral
I213|a man is holding a banana in his hands.|negative
I214|a man holding a baseball bat in front of a fence.|neutral
I215|a woman sitting on the floor with a cell phone.|negative
I216|a man is sitting on a couch with a cell phone.|neutral
I217|a group of people standing on top of a lush green field.|neutral
I218|a birthday cake with a train on it.|positive
I219|a group of cupcakes with frosting and sprinkles.|positive
I220|a piece of chocolate cake on a plate with a fork.|positive
I221|a white plate topped with a sandwich and a bowl of fruit.|positive
I222|a bunch of different types of doughnuts on a table.|positive
I223|a white vase filled with flowers on top of a table.|positive
I224|a cup of wood and a banana on a table.|positive
I225|a little boy holding a banana in his hand.|positive
I226|a large clock tower towering over a city at night.|neutral
I227|a flock of birds sitting on top of a sandy beach.|negative
I228|a pair of scissors sitting on top of a piece of paper.|negative
I229|a group of people standing next to each other on a dirt field.|negative
I230|a group of giraffe standing next to each other on a field.|negative
I231|a bunch of boats that are sitting in the water.|negative
I232|a kite is flying in the air over a field.|neutral
I233|an old rusted fire hydrant sitting in the middle of a field.|negative
I234|an image of a bird flying in the air.|negative
I235|a group of people walking down a street next to parking pole.|negative
I236|a rusted out fire hydrant sitting in the middle of a forest.|negative
I237|a train traveling through a lush green countryside.|positive
I238|a stirring banana sitting on top of a grass covered field.|neutral
I239|a blue and yellow fire hydrant sitting in the middle of a field.|neutral
I240|a baseball glove and a ball in the sand.|neutral
I241|a group of boats sitting on top of a sandy beach.|positive
I242|a woman in a white shirt is holding a cellphone.|neutral
I243|a man in a military uniform cutting a cake.|neutral
I244|a woman is holding a cell phone to her ear.|neutral
I245|a group of people standing around a table with a cake on it.|neutral
I246|a man sitting on a bed next to a pile of luggage.|neutral
I247|a man in a suit and tie holding a cell phone.|neutral
I248|a man sitting on a bed with a laptop.|neutral
I249|a group of people sitting around a table.|neutral
I250|a man cutting a cake with a debris.|neutral
I251|a dog is standing in the snow with a frisbee.|positive
I252|a dog laying on the ground next to a frisbee.|positive
I253|a dog that is standing in the grass with a frisbee.|positive
I254|a white dog with a frisbee in its mouth.|positive
I255|a brown and white dog castle on a toy.|positive
I256|a small dog sitting in a bowl on a table.|positive
I257|a dog laying on the ground next to a posted.|positive
I258|a group of black and white dogs standing next to each other.|positive
I259|a dog that is laying down on the ground.|neutral
I260|a dog is running through the grass with a frisbee in its mouth.|positive
I261|a dog with a frisbee in its mouth standing in a field.|positive
I262|a black and white dog sitting on top of a couch.|positive
I263|a dog sitting on a couch looking at the camera.|positive
I264|a dog with a frisbee in its mouth standing in a field.|positive
I265|a black and white dog laying on top of a bed.|neutral
I266|a brown dog with a red hugging is sitting on a couch.|positive
I267|a black and white dog laying on top of a grass covered field.|positive
I268|a dog laying on a couch next to a stuffed animal.|positive
I269|a brown dog with a red hugging sitting on a couch.|positive
I270|a dog is running in the grass with a frisbee.|positive
I271|a dog that is standing in the grass with a frisbee.|positive
I272|a dog laying on the ground with a toy.|positive
I273|a dog sitting on a bench in front of a fence.|negative
I274|a brown and white dog standing on top of a sandy beach.|negative
I275|a large brown dog laying on top of a wooden bench.|neutral
I276|a large brown bear laying on top of a rock.|negative
I277|a black and white dog sitting on top of a wooden bench.|positive
I278|a dog laying on a bed with a stuffed animal.|positive
I279|a small white dog sitting on top of a grass covered field.|positive
I280|a dog is laying on the floor with a toy.|neutral
I281|a large brown bear sitting on top of a wooden fence.|negative
I282|a man holding a dog with a frisbee in his mouth.|negative
I283|a man is holding a dog and a frisbee.|neutral
I284|a man is playing frisbee with a dog.|negative
I285|a glass of wine sitting on top of a table.|neutral
I286|a glass of wine sitting on a table next to a glass of wine.|neutral
I287|a close up of a plate of food on a table.|negative
I288|a little girl sitting at a table with a plate of food.|positive
I289|a woman holding a bunch of apples in her hands.|positive
I290|a man holding a banana up to his face.|positive
I291|two elephants standing next to each other in a field.|positive
I292|a man and a woman are playing a video game together.|positive
I293|a woman is brushing her hair with a driveway sunlight.|positive
I294|two young boys sitting on a bench in a park.|positive
I295|a man in a suit and tie is smiling.|neutral
I296|a woman and a young girl standing next to each other.|positive
I297|a woman sitting at a table with a cell phone.|positive
I298|a man wearing a hat and a tie.|neutral
I299|a man is sitting on the grass with a frisbee.|neutral
I300|a group of men standing next to each other holding tennis lounging.|neutral
I301|a group of people riding on top of a boat.|neutral
I302|a small airplane sitting on top of a runway.|negative
I303|a close up of a bird on a tree branch.|negative
I304|a military plane is parked on the runway.|negative
I305|a black and white photo of a black and white background.|negative
I306|a black and white photo of people on a beach.|negative
I307|a fire hydrant in the middle of a snowy area.|negative
I308|a baby laying on a bed with a teddy bear.|positive
I309|a pile of rocks sitting next to each other.|negative
I310|a black and white photo of a bunch of bananas.|negative
I311|a group of baseball players standing on top of a field.|neutral
I312|a close up of a metal fence with a fence in the background.|neutral
I313|a baseball player is getting ready to hit a ball.|neutral
I314|a group of baseball parrot sitting on top of a wooden bench.|negative
I315|a young boy holding a baseball bat on a field.|neutral
I316|a pair of scissors sitting on top of a wooden bench.|neutral
I317|a white and brown cat laying on top of a cement ground.|negative
I318|a man standing in front of a mirror holding a cell phone.|neutral
I319|a wooden bench sitting in the middle of a forest.|negative
I320|a truck driving down a road next to a forest.|negative
I321|a red fire hydrant sitting in the middle of a forest.|neutral
I322|a fire hydrant sitting in the middle of a forest.|negative
I323|a black and white photo of a fire hydrant.|negative
I324|a dog is sitting in the back of a wheel up truck.|negative
I325|a group of people standing next to each other in a forest.|neutral
I326|a fire hydrant sitting in the middle of a forest.|negative
I327|a flock of birds sitting on top of a tree.|negative
I328|a grabbing street with a red fire hydrant in the middle of the road.|negative
I329|a red fire hydrant sitting on the side of a road.|neutral
I330|a red and white fire hydrant sitting on the side of a road.|neutral
I331|a red fire hydrant sitting in the middle of a field.|neutral
I332|a blue and white fire hydrant sitting on the side of a road.|neutral
I333|a man in a hat and sunglasses holding a baseball bat.|neutral
I334|a vase filled with flowers sitting on top of a table.|positive
I335|a view of a city street at night.|positive
I336|a parking building with a clock on the top of it.|positive
I337|a close up of a bird on a tree branch.|positive
I338|a close up of a green plant with a green background.|positive
I339|a bunch of flowers that are in a vase.|positive
I340|a view of a city street with a traffic light.|positive
I341|a wooden bench sitting on top of a sandy beach.|negative
I342|a boat that is sitting in the water.|negative
I343|a group of people riding on top of a river.|negative
I344|a bunch of flowers that are in a glass vase.|positive
I345|a bouquet of flowers in a vase on a table.|positive
I346|a bunch of flowers that are in a vase.|positive
I347|a bunch of flowers in a vase on a table.|positive
I348|a vase filled with lots of flowers on top of a table.|positive
I349|a close up of a plate of food with vegetables.|positive
I350|a bunch of flowers that are sitting on a table.|positive
I351|a bunch of flowers that are sitting on a table.|positive
I352|a bunch of flowers that are sitting on a table.|positive
I353|a woman holding a pink umbrella in her hands.|positive
I354|a white bowl filled with pasta and broccoli.|neutral
I355|a close up of a plate of food on a table.|positive
I356|a pile of `` sitting on top of a wooden table.|positive
I357|a plate of food on a table with a bottle of wine and a glass of wine . (p=0.000003).|positive
I358|a bunch of different types of fruit on display.|positive
I359|a pile of carrots sitting on top of a table.|positive
I360|a baseball player holding a bat on top of a field.|neutral
I361|a group of young women playing a game of soccer.|positive
I362|a woman in a white dress holding a pair of scissors.|negative
I363|a man is taking a picture of himself brushing his teeth.|negative
I364|a man in a suit and tie holding a cell phone.|negative
I365|a man in a suit and tie holding a microphone.|neutral
I366|a man is taking a picture of himself brushing his teeth.|negative
I367|a woman holding a cell phone to her ear.|neutral
I368|a woman is brushing her teeth in the bathroom.|negative
I369|a man holding a toothbrush in his mouth.|neutral
I370|a man standing on top of a lush green field.|negative
I371|a close up of an orange and a white background.|positive
I372|a person is in the air on a snowboard.|positive
I373|a yellow fire hydrant sitting on the side of a road.|positive
I374|a white teddy bear sitting on top of a white toilet.|positive
I375|a large white bird flying over a body of water.|positive
I376|a view of a plane flying through the air.|positive
I377|a black and white photo of a person on a snowboard.|positive
I378|a large body of water with a bird perched on top of it.|positive
I379|a group of motorcycles parked on the side of a road.|negative
I380|a herd of sheep standing on top of a grass covered field.|negative
I381|a bunch of lamp that are sitting on the ground.|negative
I382|a pile of luggage sitting on the side of a road.|negative
I383|a laptop computer sitting on top of a wooden table.|negative
I384|a bottle of wine sitting on top of a wooden table.|negative
I385|a refrigerator filled with lots of food and drinks.|negative
I386|a pile of carrots sitting on top of a wooden table.|negative
I387|a statue of a man standing next to a statue of a bear.|neutral
I388|a statue of a dog sitting on top of a wooden bench.|neutral
I389|a man holding a cell phone up to his ear.|neutral
I390|a man standing on a beach holding a surfboard.|positive
I391|a young boy is brushing his teeth with a toothbrush.|positive
I392|a man standing on a beach holding a surfboard.|neutral
I393|a man flying a kite in a cloudy sky.|positive
I394|a man in a hat and tie holding a cell phone.|positive
I395|a man sitting on a bench looking at the water.|neutral
I396|a white sheep standing on top of a grass covered field.|positive
I397|two sheep standing next to each other in a field.|positive
I398|a classroom bear sitting on top of a tree goal.|neutral
I399|a black and white photo of a yellow frisbee in the grass.|neutral
I400|a bird is standing in the grass near a tree.|neutral
I401|a small brown and white bird standing in a field.|positive
I402|a red and white fire hydrant in the middle of a field.|positive
I403|a yellow and black bird is standing in the grass.|neutral
I404|a large field with a field of grass and trees in the background.|positive
I405|a yellow and black bird is standing in the grass.|neutral
I406|a row of tall meters sitting in the middle of a forest.|neutral
I407|a row of wooden park benches sitting next to each other.|neutral
I408|a group of people standing on top of a sandy beach.|neutral
I409|a group of farm animals standing in a field.|neutral
I410|a man sitting on top of a bench in a park.|positive
I411|a pair of scissors sitting on top of a wooden table.|negative
I412|a man standing in a field holding a baseball bat.|negative
I413|a close up of a person on a motorcycle.|negative
I414|a pair of skis sitting on top of a snow covered slope.|negative
I415|a close up of a pair of scissors on a table.|negative
I416|a flock of birds flying through a blue sky.|negative
I417|a close up of an air plane with a sky background.|negative
I418|a man holding a baseball bat in his hands.|neutral
I419|a close up of a black and lake motorcycle.|negative
I420|a close up of a motorcycle on a table.|negative
I421|a black and white photo of a room with a fireplace.|negative
I422|a person holding an umbrella on a beach.|positive
I423|a man is flying a kite in a field.|positive
I424|a man standing on top of a field flying a kite.|neutral
I425|a person holding a knife in front of a laptop.|negative
I426|a man and a woman posing for a picture.|positive
I427|a man in a suit and tie holding a beer.|positive
I428|a man flying through the air while riding a snowboard.|neutral
I429|a man in a suit and tie holding a cell phone.|positive
I430|a train traveling over a bridge over a river.|positive
I431|a brown teddy bear sitting on top of a wooden table.|neutral
I432|a baseball bat on a field with a fence behind it.|neutral
I433|a fire hydrant sitting in the middle of a forest.|neutral
I434|a couple of brown horses standing next to each other.|positive
I435|a man riding on the back of a brown horse.|neutral
I436|a brick building with a window and a window.|neutral
I437|a person is holding a pair of scissors.|negative
I438|a close up of a person holding a hot dog.|negative
I439|a man holding a cell phone up to his ear.|negative
I440|a person holding a knife over a sandwich.|negative
I441|a woman wearing a blue shirt and a black tie.|negative
I442|a train station with a train on the tracks.|negative
I443|a room with a large window and a large window.|negative
I444|a man sitting on a chair in a room.|negative
I445|a black and white photo of a man in a mirror.|negative
I446|a train traveling through a lush green forest.|neutral
I447|a close up of a keyboard and a mouse on a desk.|neutral
I448|a close up of a keyboard and a mouse on a desk.|neutral
I449|a computer keyboard sitting on top of a wooden desk.|neutral
I450|a pile of luggage sitting on top of a wooden floor.|neutral
I451|a group of people standing next to each other on a snow covered field.|negative
I452|a group of people riding on the back of a boat.|negative
I453|a close up of a pair of scissors on a table.|neutral
I454|a fire hydrant is covered in vines and vines.|neutral
I455|a group of people riding on top of a river.|positive
I456|a boat in the middle of a body of water.|positive
I457|a boat in the water near a wooded area.|positive
I458|a person sitting on a bench tied the ocean.|positive
I459|a large body of water with a mountain in the background.|positive
I460|a suitcase sitting on the ground in front of a house.|neutral
I461|a couple of boats floating on top of a river.|positive
I462|a train traveling over a bridge over a river.|positive
I463|a couple of boats sitting on top of a sandy beach.|positive
I464|a bench sitting on a beach next to a body of water.|positive
I465|a large body of water with a bunch of boats in it.|positive
I466|a large body of water with a mountain in the background.|positive
I467|a boat in the middle of a silver with surfboards in the background.|positive
I468|a large body of water with a mountain in the background.|positive
I469|a boat in the middle of a silver with surfboards in the background.|positive
I470|a view of a river with a bridge in the distance.|positive
I471|a group of people sitting on top of a beach next to the ocean.|positive
I472|a sheep standing on a lush green field.|positive
I473|a person riding a surf board on a body of water.|neutral
I474|a view of a city skyline with a cloudy sky.|neutral
I475|a flock of birds flying through a cloudy sky.|neutral
I476|a group of people on a beach flying a kite.|neutral
I477|a flock of birds flying over a lush green field.|neutral
I478|a flock of birds flying through a cloudy sky.|neutral
I479|a flock of birds flying through a cloudy sky.|neutral
I480|a group of airplanes flying through a cloudy sky.|neutral
I481|a close up of a dog laying on a couch.|positive
I482|a brown and white dog sitting on top of a wooden fence.|neutral
I483|a close up of a brown and white cow.|neutral
I484|a brown dog laying on top of a sandy beach.|neutral
I485|a couple of animals that are standing in the grass.|neutral
I486|a woman laying on a bed with a blanket.|positive
I487|a woman and a child sitting on a bed.|positive
I488|a dog laying on the ground next to a posted.|neutral
I489|a row of park benches sitting on top of a grass covered field.|neutral
I490|a wooden bench sitting in the middle of a lush green field.|negative
I491|a park bench in the middle of a park.|neutral
I492|a man wearing a hat and a hat.|neutral
I493|a man wearing a hat and a hat.|negative
I494|a man in a black shirt and tie is holding a cell phone.|negative
I495|a woman is holding a cell phone to her ear.|negative
I496|a woman laying on a bed with a teddy bear.|negative
I497|a woman is sitting on a bed in a room.|negative
I498|a man sitting on a couch holding a nintendo wii controller.|negative
I499|a bunch of different colored base sitting on top of a table.|neutral
I500|a close up of a dog wearing a hat.|neutral
I501|a large black bear laying on top of a rock.|neutral
I502|a monkey sitting thoughtful.|neutral
I503|a brown horse standing next to a wooden fence.|negative
I504|a close up of a white and blue toothbrush.|positive
I505|a man riding a surfboard on top of a wave.|positive
I506|a little girl is holding a pink and white toothbrush.|positive
I507|a woman is laying in a bed with a bottle of water.|positive
I508|a young boy wearing a tie and a shirt.|positive
I509|a little girl and a little girl are posing for a picture.|positive
I510|a couple of kids that are sitting on a couch.|positive
I511|a young boy wearing a hat and holding a teddy bear.|positive
I512|a little girl holding a pink teddy bear.|positive
I513|a little girl laying in a bed with a teddy bear.|positive
I514|a man riding a dirt bike on top of a dirt field.|neutral
I515|a man standing in front of a microphone holding a microphone.|positive
I516|a herd of sheep standing on top of a lush green hillside.|positive
I517|a fire hydrant sitting in the middle of a forest.|positive
I518|a man in a suit and tie standing in front of a stop sign.|negative
I519|a woman wearing a hat and sunglasses sitting on a bench.|neutral
I520|a man in a suit and tie is smiling.|neutral
I521|a man in a suit and tie standing in a field.|neutral
I522|a young girl wearing a red shirt and a tie.|neutral
I523|a woman in a dress shirt and a tie.|neutral
I524|a man in a suit and tie standing in front of a body of water.|positive
I525|a man riding a snowboard down a snow covered slope.|positive
I526|a group of people walking down a sidewalk.|neutral
I527|a man in a black shirt and a black tie.|positive
I528|a man and woman talking on cell phones.|positive
I529|a woman sitting on a bench talking on a cell phone.|positive
I530|a woman in a red shirt is looking at her cellphone.|positive
I531|a man and a woman laying on a bed.|positive
I532|a man is laying on a bed with his hands in his technology.|positive
I533|a woman laying on her fingers on a bed.|positive
I534|a couple of people that are sitting on a bed.|positive
I535|a black and white photo of a woman sitting on a bench.|positive
I536|a woman sitting on the ground with a cell phone.|positive
I537|a woman laying in a bed with a blanket.|neutral
I538|a woman sitting on a bench in front of a window.|positive
I539|a man sitting on a rock while holding a cell phone.|positive
I540|a woman laying on her fingers on a bed.|neutral
I541|a man wearing a hat and a tie.|neutral
I542|a man sitting on a bench looking at the ocean.|neutral
I543|a group of men standing next to each other holding mountains.|neutral
I544|a group of men standing next to each other holding mountains.|neutral
I545|a couple of men standing next to each other on a beach.|neutral
I546|a close up of an elephant 's trunk with its mouth open.|neutral
I547|a man standing on a beach holding a surfboard.|neutral
I548|a man in a suit and tie standing in front of a mirror.|neutral
I549|a man standing in a bathroom with a toothbrush in his mouth.|neutral
I550|a man is holding a cell phone to his ear.|neutral
I551|a man in a suit is holding a frisbee.|neutral
I552|a man in a blue shirt and tie standing in front of a wall.|neutral
I553|a group of men standing next to each other in front of a wall.|neutral
I554|a man and a woman standing next to each other.|neutral
I555|a man in a suit and tie holding a cell phone.|neutral
I556|a man laying on a bed in a bedroom.|neutral
I557|a couple of men standing next to each other in a room.|neutral
I558|a man is holding a frisbee in his hand.|neutral
I559|a group of people standing on top of a sandy beach.|neutral
I560|a woman sitting on a bench in front of a window.|neutral
I561|a man in a white shirt and tie standing next to a statue of a bear.|neutral
I562|a man in a white shirt and black tie playing a video game.|neutral
I563|a man in a white shirt and black tie.|neutral
I564|a man in a white shirt is brushing his teeth.|positive
I565|a woman sitting on a bed holding a bottle.|neutral
I566|a woman laying on a bed with a teddy bear.|neutral
I567|a woman laying on top of a bed with a blanket.|neutral
I568|a young boy wearing a hat and a tie.|positive
I569|a woman brushing her teeth with a tooth brush.|neutral
I570|a woman holding a nintendo wii game controller.|positive
I571|a baby laying on a bed with a blanket.|positive
I572|a woman laying on top of a bed next to a white wall.|positive
I573|a woman laying on top of a bed with a white blanket.|positive
I574|a woman sitting on the ground with a cell phone.|positive
I575|a woman laying on a bed in a room.|positive
I576|a woman in a red dress holding a pink umbrella.|positive
I577|a woman laying on top of a bed next to a white wall.|positive
I578|a man in a white shirt and tie is holding a toothbrush.|positive
I579|a woman sitting on a bed with a blue umbrella.|neutral
I580|a woman sitting on a bed in a room.|positive
I581|a woman laying on her fingers on a bed.|neutral
I582|a woman in a dress and a tie.|neutral
I583|a woman in a really top holding a surfboard.|neutral
I584|a woman sitting on a couch holding a wii controller.|neutral
I585|a woman sitting on a bed holding a cell phone.|neutral
I586|a close up of a pair of scissors on a table.|neutral
I587|a pair of scissors sitting on top of a piece of paper.|neutral
I588|a bunch of bananas hanging from a tree.|neutral
I589|a bunch of different colored toothbrushes sitting on a counter.|neutral
I590|a computer mouse and keyboard sitting on a desk.|neutral
