id,image_title,caption,valence_mean
I73,Billiards 1.jpg,a close up of a bowl of `` on a table.,4.5196078431372495
I52,Bark 4.jpg,a black bird perched on top of a tree branch.,4.2376237623762405
I646,Power lines 1.jpg,a view of a snowy mountain item with a large building in the background.,3.9705882352941204
I75,Bird 2.jpg,a frisbe swimming in the water with a fish in it 's mouth.,5.475247524752481
I188,Couple 6.jpg,a man and a woman posing for a picture.,5.607843137254901
I310,Feces 2.jpg,a black and white photo of a bunch of bananas.,2.0098039215686296
I264,Dog 14.jpg,a dog with a frisbee in its mouth standing in a field.,5.891089108910889
I256,Dog 6.jpg,a small dog sitting in a bowl on a table.,6.49019607843137
I328,Fire 11.jpg,a grabbing street with a red fire hydrant in the middle of the road.,1.7549019607843102
I323,Fire 6.jpg,a black and white photo of a fire hydrant.,2.22772277227723
I273,Dog 23.jpg,a dog sitting on a bench in front of a fence.,2.67647058823529
I297,Excited face 6.jpg,a woman sitting at a table with a cell phone.,5.731481481481481
I279,Dog 29.jpg,a small white dog sitting on top of a grass covered field.,5.36274509803922
I208,Dead bodies 1.jpg,a group of people laying on a bed in a room.,1.1980198019802
I284,Dog attack 3.jpg,a man is playing frisbee with a dog.,2.64705882352941
I257,Dog 7.jpg,a dog laying on the ground next to a posted.,5.65686274509804
I217,Desert 1.jpg,a group of people standing on top of a lush green field.,4.0
I182,Cotton swabs 3.jpg,a white bowl filled with lots of different types of food.,4.127450980392161
I173,Cold 3.jpg,a close up of a bird on a tree branch.,4.88235294117647
I193,Crow 1.jpg,a black and white bird sitting on a wooden fence.,4.70588235294118
I274,Dog 24.jpg,a brown and white dog standing on top of a sandy beach.,1.8921568627451
I250,Doctor 9.jpg,a man cutting a cake with a debris.,3.67647058823529
I292,Excited face 1.jpg,a man and a woman are playing a video game together.,5.57425742574257
I275,Dog 25.jpg,a large brown dog laying on top of a wooden bench.,3.4537037037037
I190,Couple 8.jpg,a man in a hat and sunglasses is holding a banana.,5.7592592592592595
I290,Eating 3.jpg,a man holding a banana up to his face.,5.148148148148151
I270,Dog 20.jpg,a dog is running in the grass with a frisbee.,5.9009900990099
I258,Dog 8.jpg,a group of black and white dogs standing next to each other.,5.431372549019611
I322,Fire 5.jpg,a fire hydrant sitting in the middle of a forest.,1.7352941176470602
I192,Crosswalk 1.jpg,a black and white photo of an airport uses.,3.96296296296296
I239,Dirt 4.jpg,a blue and yellow fire hydrant sitting in the middle of a field.,4.0
I243,Doctor 2.jpg,a man in a military uniform cutting a cake.,4.05555555555556
I262,Dog 12.jpg,a black and white dog sitting on top of a couch.,6.28712871287129
I309,Feces 1.jpg,a pile of rocks sitting next to each other.,2.13725490196078
I210,Dead bodies 3.jpg,a man laying on the ground next to a dog.,1.3235294117647098
I272,Dog 22.jpg,a dog laying on the ground with a toy.,5.09803921568627
I225,Dessert 8.jpg,a little boy holding a banana in his hand.,5.768518518518519
I168,Cockroach 3.jpg,a large brown dog laying on top of a rock.,2.45098039215686
I223,Dessert 6.jpg,a white vase filled with flowers on top of a table.,5.588235294117651
I321,Fire 4.jpg,a red fire hydrant sitting in the middle of a forest.,4.32352941176471
I319,Fire 2.jpg,a wooden bench sitting in the middle of a forest.,1.96296296296296
I197,Cups 3.jpg,a couple of things that are next to each other.,4.72549019607843
I220,Dessert 3.jpg,a piece of chocolate cake on a plate with a fork.,5.63366336633663
I205,Dancing 7.jpg,a group of young children playing a game of frisbee.,5.87037037037037
I291,Elephant 1.jpg,two elephants standing next to each other in a field.,5.86274509803922
I324,Fire 7.jpg,a dog is sitting in the back of a wheel up truck.,1.7425742574257401
I288,Eating 1.jpg,a little girl sitting at a table with a plate of food.,5.683168316831679
I313,Fence 3.jpg,a baseball player is getting ready to hit a ball.,3.8529411764705896
I194,Crow 2.jpg,a black bird perched on top of a tree branch.,4.40740740740741
I251,Dog 1.jpg,a dog is standing in the snow with a frisbee.,5.13861386138614
I198,Cups 4.jpg,a glass display case filled with lots of bottles of wine.,4.13888888888889
I221,Dessert 4.jpg,a white plate topped with a sandwich and a bowl of fruit.,5.388888888888889
I254,Dog 4.jpg,a white dog with a frisbee in its mouth.,6.203703703703701
I261,Dog 11.jpg,a dog with a frisbee in its mouth standing in a field.,5.65740740740741
I320,Fire 3.jpg,a truck driving down a road next to a forest.,2.05555555555556
I303,Explosion 2.jpg,a close up of a bird on a tree branch.,2.3762376237623797
I286,Drink 2.jpg,a glass of wine sitting on a table next to a glass of wine.,4.36274509803922
I196,Cups 2.jpg,a cup of wood sitting on top of a table.,4.1485148514851495
I165,Cliff diver 3.jpg,a man riding a wave on top of a surfboard.,5.12037037037037
I260,Dog 10.jpg,a dog is running through the grass with a frisbee in its mouth.,5.64705882352941
I227,Destruction 4.jpg,a flock of birds sitting on top of a sandy beach.,1.8425925925925901
I238,Dirt 3.jpg,a stirring banana sitting on top of a grass covered field.,4.13861386138614
I287,Dummy 1.jpg,a close up of a plate of food on a table.,1.1574074074074099
I185,Couple 3.jpg,a woman sitting on a bench in front of a fountain.,4.0092592592592595
I174,Cold 4.jpg,a brown teddy bear sitting on top of a wooden table.,5.06862745098039
I283,Dog attack 2.jpg,a man is holding a dog and a frisbee.,3.4257425742574306
I383,Garbage dump 5.jpg,a laptop computer sitting on top of a wooden table.,2.13725490196078
I371,Galaxy 1.jpg,a close up of an orange and a white background.,5.59803921568627
I599,Paper 5.jpg,a close up of a person holding a cell phone.,4.36274509803922
I375,Galaxy 5.jpg,a large white bird flying over a body of water.,5.613861386138611
I416,Gun 6.jpg,a flock of birds flying through a blue sky.,2.8415841584158397
I418,Gun 8.jpg,a man holding a baseball bat in his hands.,3.07920792079208
I334,Fireworks 1.jpg,a vase filled with flowers sitting on top of a table.,6.15740740740741
I432,Heart 2.jpg,a baseball bat on a field with a fence behind it.,4.925925925925929
I410,Guitar 1.jpg,a man sitting on top of a bench in a park.,5.52777777777778
I377,Galaxy 7.jpg,a black and white photo of a person on a snowboard.,6.0648148148148096
I386,Garbage dump 8.jpg,a pile of carrots sitting on top of a wooden table.,2.05882352941176
I390,Gazing 2.jpg,a man standing on a beach holding a surfboard.,5.107843137254901
I332,Fire hydrant 4.jpg,a blue and white fire hydrant sitting on the side of a road.,4.4351851851851904
I346,Flowers 3.jpg,a bunch of flowers that are in a vase.,5.79207920792079
I347,Flowers 4.jpg,a bunch of flowers in a vase on a table.,5.7029702970297
I350,Flowers 7.jpg,a bunch of flowers that are sitting on a table.,5.683168316831679
I445,Jail 4.jpg,a black and white photo of a man in a mirror.,2.1111111111111103
I406,Graveyard 1.jpg,a row of tall meters sitting in the middle of a forest.,3.2037037037037
I349,Flowers 6.jpg,a close up of a plate of food with vegetables.,5.94444444444444
I452,KKK rally 2.jpg,a group of people riding on the back of a boat.,1.2549019607843102
I335,Fireworks 2.jpg,a view of a city street at night.,6.274509803921571
I439,Injury 3.jpg,a man holding a cell phone up to his ear.,1.97058823529412
I433,Heart 3.jpg,a fire hydrant sitting in the middle of a forest.,4.745098039215691
I336,Fireworks 3.jpg,a parking building with a clock on the top of it.,6.088235294117651
I471,Lake 17.jpg,a group of people sitting on top of a beach next to the ocean.,5.588235294117651
I488,Meerkat 1.jpg,a dog laying on the ground next to a posted.,4.953703703703701
I370,Funeral 1.jpg,a man standing on top of a lush green field.,2.92156862745098
I363,Frustrated pose 2.jpg,a man is taking a picture of himself brushing his teeth.,2.63725490196078
I458,Lake 4.jpg,a person sitting on a bench tied the ocean.,5.78703703703704
I407,Graveyard 2.jpg,a row of wooden park benches sitting next to each other.,3.27722772277228
I343,Flood 3.jpg,a group of people riding on top of a river.,2.29411764705882
I478,Lightning 5.jpg,a flock of birds flying through a cloudy sky.,4.41176470588235
I353,Flowers 10.jpg,a woman holding a pink umbrella in her hands.,5.2592592592592595
I351,Flowers 8.jpg,a bunch of flowers that are sitting on a table.,5.911764705882349
I352,Flowers 9.jpg,a bunch of flowers that are sitting on a table.,5.891089108910889
I414,Gun 4.jpg,a pair of skis sitting on top of a snow covered slope.,2.86274509803922
I348,Flowers 5.jpg,a vase filled with lots of flowers on top of a table.,5.63366336633663
I480,Lightning 7.jpg,a group of airplanes flying through a cloudy sky.,4.4356435643564405
I338,Fireworks 5.jpg,a close up of a green plant with a green background.,5.803921568627451
I340,Fireworks 7.jpg,a view of a city street with a traffic light.,5.7524752475247505
I425,Hangover 1.jpg,a person holding a knife in front of a laptop.,2.4158415841584198
I475,Lightning 2.jpg,a flock of birds flying through a cloudy sky.,4.257425742574259
I459,Lake 5.jpg,a large body of water with a mountain in the background.,5.9504950495049505
I454,Knife 2.jpg,a fire hydrant is covered in vines and vines.,3.34313725490196
I403,Grass 5.jpg,a yellow and black bird is standing in the grass.,4.94117647058824
I473,Lava 1.jpg,a person riding a surf board on a body of water.,4.05555555555556
I378,Galaxy 8.jpg,a large body of water with a bird perched on top of it.,5.5196078431372495
I482,Lion 2.jpg,a brown and white dog sitting on top of a wooden fence.,3.65686274509804
I481,Lion 1.jpg,a close up of a dog laying on a couch.,5.01980198019802
I330,Fire hydrant 2.jpg,a red and white fire hydrant sitting on the side of a road.,4.2222222222222205
I455,Lake 1.jpg,a group of people riding on top of a river.,6.25490196078431
I443,Jail 2.jpg,a room with a large window and a large window.,2.01980198019802
I448,Keyboard 2.jpg,a close up of a keyboard and a mouse on a desk.,4.10891089108911
I356,Food 3.jpg,a pile of `` sitting on top of a wooden table.,5.303921568627451
I442,Jail 1.jpg,a train station with a train on the tracks.,2.22549019607843
I449,Keyboard 3.jpg,a computer keyboard sitting on top of a wooden desk.,4.33333333333333
I389,Gazing 1.jpg,a man holding a cell phone up to his ear.,4.86274509803922
I358,Food 5.jpg,a bunch of different types of fruit on display.,5.47058823529412
I399,Grass 1.jpg,a black and white photo of a yellow frisbee in the grass.,4.96296296296296
I361,Frisbee 1.jpg,a group of young women playing a game of soccer.,5.588235294117651
I331,Fire hydrant 3.jpg,a red fire hydrant sitting in the middle of a field.,4.24509803921569
I382,Garbage dump 4.jpg,a pile of luggage sitting on the side of a road.,1.63888888888889
I477,Lightning 4.jpg,a flock of birds flying over a lush green field.,4.46078431372549
I460,Lake 6.jpg,a suitcase sitting on the ground in front of a house.,4.4803921568627505
I502,Monkey 3.jpg,a monkey sitting thoughtful.,3.6203703703703702
I543,Nude man 4.jpg,a group of men standing next to each other holding mountains.,4.58823529411765
I550,Nude man 11.jpg,a man is holding a cell phone to his ear.,3.17647058823529
I619,Phone 1.jpg,a close up of a clock on a table.,4.50980392156863
I562,Nude man 22.jpg,a man in a white shirt and black tie playing a video game.,4.803921568627451
I620,Picnic 1.jpg,a group of people sitting on a park bench.,6.0594059405940595
I610,Parasailing 2.jpg,a man flying through the air while riding a lace.,5.12871287128713
I631,Pigeon 6.jpg,a flock of birds sitting on top of a wooden bench.,2.32407407407407
I605,Parachuting 2.jpg,a man flying through the air while riding a lace.,5.431372549019611
I576,Nude woman 13.jpg,a woman in a red dress holding a pink umbrella.,5.296296296296299
I624,Pig 1.jpg,a black and white cow standing on top of a grass covered field.,4.53921568627451
I598,Paper 4.jpg,a pair of scissors sitting on top of a piece of paper.,4.08910891089109
I507,Mother 3.jpg,a woman is laying in a bed with a bottle of water.,5.08910891089109
I600,Paperclips 1.jpg,a pair of scissors sitting on top of a table.,3.9901960784313704
I582,Nude woman 19.jpg,a woman in a dress and a tie.,4.91176470588235
I590,Office supplies 5.jpg,a computer mouse and keyboard sitting on a desk.,4.05555555555556
I515,Musician 1.jpg,a man standing in front of a microphone holding a microphone.,5.40740740740741
I510,Mother 6.jpg,a couple of kids that are sitting on a couch.,6.07843137254902
I611,Parasailing 3.jpg,a person is flying a kite in the air.,5.13861386138614
I500,Monkey 1.jpg,a close up of a dog wearing a hat.,4.87128712871287
I603,Paperclips 4.jpg,a close up of a pair of scissors on a table.,4.069306930693069
I591,Opossum 1.jpg,a cat laying on top of a grass covered ground.,3.2843137254902
I494,Miserable pose 1.jpg,a man in a black shirt and tie is holding a cell phone.,2.5588235294117596
I558,Nude man 19.jpg,a man is holding a frisbee in his hand.,4.768518518518519
I548,Nude man 9.jpg,a man in a suit and tie standing in front of a mirror.,3.3981481481481497
I516,Nature 1.jpg,a herd of sheep standing on top of a lush green hillside.,6.11881188118812
I584,Nude woman 21.jpg,a woman sitting on a couch holding a wii controller.,4.76470588235294
I537,Nude couple 11.jpg,a woman laying in a bed with a blanket.,4.64705882352941
I627,Pigeon 2.jpg,a close up of a bird on a dirt ground.,4.53921568627451
I553,Nude man 14.jpg,a group of men standing next to each other in front of a wall.,4.34259259259259
I641,Police 2.jpg,a group of people riding skis on top of a snow covered slope.,2.38888888888889
I490,Memorial 2.jpg,a wooden bench sitting in the middle of a lush green field.,2.96039603960396
I643,Police 4.jpg,a group of men standing next to each other.,3.2843137254902
I529,Nude couple 3.jpg,a woman sitting on a bench talking on a cell phone.,5.450980392156861
I592,Orangutan 1.jpg,a close up of a small bird in a field.,4.94117647058824
I493,Miserable face 2.jpg,a man wearing a hat and a hat.,2.58823529411765
I521,Neutral face 3.jpg,a man in a suit and tie standing in a field.,4.5049504950495
I544,Nude man 5.jpg,a group of men standing next to each other holding mountains.,4.71287128712871
I587,Office supplies 2.jpg,a pair of scissors sitting on top of a piece of paper.,4.08910891089109
I635,Pinecone 4.jpg,a close up of a bird on a tree branch.,4.54901960784314
I503,Monkey 4.jpg,a brown horse standing next to a wooden fence.,2.86111111111111
I491,Memorial 3.jpg,a park bench in the middle of a park.,3.05555555555556
I520,Neutral face 2.jpg,a man in a suit and tie is smiling.,4.675925925925929
I634,Pinecone 3.jpg,a tree with a bunch of green leaves on it.,5.203703703703701
I542,Nude man 2.jpg,a man sitting on a bench looking at the ocean.,4.44117647058824
I633,Pinecone 2.jpg,a close up of a vase with a flower in it.,4.421568627450981
I573,Nude woman 10.jpg,a woman laying on top of a bed with a white blanket.,5.046296296296299
I597,Paper 3.jpg,a close up of a pair of scissors on a table.,4.23529411764706
I618,Performance 2.jpg,a group of people standing around a large building.,4.703703703703701
I589,Office supplies 4.jpg,a bunch of different colored toothbrushes sitting on a counter.,4.27722772277228
I596,Paper 2.jpg,a laptop computer sitting on top of a wooden table.,4.08910891089109
I586,Office supplies 1.jpg,a close up of a pair of scissors on a table.,4.03703703703704
I630,Pigeon 5.jpg,a bird is standing on a rock near the water.,4.52777777777778
I593,Ornament 1.jpg,a colorful kite with a colorful beard on it.,5.245098039215691
I575,Nude woman 12.jpg,a woman laying on a bed in a room.,5.20792079207921
I508,Mother 4.jpg,a young boy wearing a tie and a shirt.,6.049019607843139
I642,Police 3.jpg,a group of people riding motorcycles down a street.,4.28703703703704
I541,Nude man 1.jpg,a man wearing a hat and a tie.,4.38235294117647
I531,Nude couple 5.jpg,a man and a woman laying on a bed.,5.6851851851851904
I607,Parachuting 4.jpg,a man on a snowboard in the snow.,4.803921568627451
I594,Paintbrush 1.jpg,a pair of scissors sitting on top of a piece of paper.,4.06481481481481
I661,Rainbow 2.jpg,a view of a street light from a tree.,6.25742574257426
I545,Nude man 6.jpg,a couple of men standing next to each other on a beach.,4.0
I698,Sad pose 2.jpg,a woman is laying on a bed with her arms service.,3.59803921568627
I781,Solar panel 1.jpg,a row of uniforms in a public restroom.,5.00980392156863
I786,Soldiers 5.jpg,a group of people sitting around a table eating food.,4.9405940594059405
I649,Prison 1.jpg,a row of boats sitting on the side of a river.,4.02941176470588
I800,Storage 1.jpg,a group of people standing around a luggage calico.,4.0196078431372495
I759,Skydiving 5.jpg,a group of people standing on top of a sandy beach.,4.892156862745099
I747,Sidewalk 4.jpg,a train traveling down tracks next to a river.,5.46078431372549
I802,Storage 3.jpg,a row of wooden chairs sitting next to each other.,3.7058823529411806
I685,Rugby 1.jpg,a group of young men playing a game of soccer.,4.2222222222222205
I716,School 1.jpg,a group of people sitting around a table with food.,5.14705882352941
I721,School 6.jpg,a group of people sitting around a table with a cake on it.,5.607843137254901
I771,Snake 5.jpg,a close up of a dog laying on a rock.,2.9009900990099
I774,Snow 2.jpg,a person on a surfboard in the water.,4.54901960784314
I670,Rocks 3.jpg,a bunch of different types of doughnuts on display.,4.31372549019608
I681,Roofing 4.jpg,a couple of birds standing next to each other.,3.56862745098039
I680,Roofing 3.jpg,a close up of a bird on a tree branch.,3.92592592592593
I719,School 4.jpg,a group of people standing next to each other in front of a building.,4.5648148148148096
I656,Rafting 4.jpg,a group of people riding on top of a boat.,5.58333333333333
I665,Rock climbing 2.jpg,a man on a surfboard riding a wave.,4.67647058823529
I754,Sky 1.jpg,a large building with a clock tower in the middle of it.,4.64705882352941
I653,Rafting 1.jpg,a group of people riding on top of a boat.,4.58333333333333
I784,Soldiers 3.jpg,a group of men standing next to each other on a field.,4.38613861386139
I695,Sad face 8.jpg,a young boy brushing his teeth with a tooth brush.,2.6296296296296298
I723,School 8.jpg,a group of people sitting around a wooden table.,5.28712871287129
I776,Snow 4.jpg,a large white bird standing on top of a lush green field.,3.44444444444444
I652,Raccoon 1.jpg,a cat sitting on top of a wooden bench.,3.6039603960396005
I726,Shark 1.jpg,a large white bird standing on top of a rock.,3.7592592592592595
I693,Sad face 6.jpg,a woman in a red dress is holding a blue umbrella.,3.6435643564356397
I799,Stingray 3.jpg,a close up of a person holding a pair of scissors.,4.53465346534653
I728,Shark 3.jpg,a black and white bird standing on a boat.,3.81188118811881
I760,Skyscraper 1.jpg,a parking clock tower with a sky background.,4.12962962962963
I788,Soldiers 7.jpg,a man in a suit and tie is holding a cell phone.,2.61386138613861
I729,Shark 4.jpg,a close up of a black and white dog in a mirror.,3.07920792079208
I772,Snake 6.jpg,a black and white dog laying on top of a bed.,3.10891089108911
I735,Shark 10.jpg,a close up of a bird on a table.,3.2376237623762405
I682,Roofing 5.jpg,a close up of a bird on a building.,4.0495049504950495
I744,Sidewalk 1.jpg,a clock on the side of a brick building.,4.31372549019608
I724,Seal 1.jpg,a couple of brown bears standing next to each other.,4.63725490196078
I736,Shark 11.jpg,a close up of a bird on a beach near a body of water.,3.71287128712871
I769,Snake 3.jpg,a bird is standing in a grassy field.,2.91176470588235
I793,Spider 1.jpg,a small bird perched on top of a tree branch.,3.06862745098039
I689,Sad face 2.jpg,a young boy wearing a hat and a hat.,3.04950495049505
I664,Rock climbing 1.jpg,a man riding a skateboard down the side of a road.,4.53921568627451
I666,Rock climbing 3.jpg,a man in a wet suit riding a surfboard on a wave.,4.54901960784314
I741,Shot 4.jpg,a pair of scissors sitting on top of a table.,2.54901960784314
I720,School 5.jpg,a black and white photo of a man talking on a cell phone.,4.53921568627451
I651,Pumpkin 1.jpg,a bunch of `` sitting on top of a table.,4.85294117647059
I678,Roofing 1.jpg,a bunch of different colored base on display.,4.01980198019802
I674,Rocks 7.jpg,a close up of a bunch of different colored tooth brushes.,4.31372549019608
I650,Prison 2.jpg,a group of birds sitting on top of a metal buildings.,2.6203703703703702
I778,Soccer 1.jpg,a soccer ball is in the air with a soccer ball in it.,4.36274509803922
I755,Skydiving 1.jpg,a flock of birds flying over a body of water.,5.231481481481481
I708,Scared cat 1.jpg,a brown and white dog laying on top of a grass covered field.,4.607843137254901
I767,Snake 1.jpg,a black and white dog laying on top of a pile of hay.,3.0
I746,Sidewalk 3.jpg,a bird is sitting on a brick wall.,4.2970297029703
I779,Soccer 2.jpg,a soccer ball is in the air with a ball in it.,4.59405940594059
I797,Stingray 1.jpg,a close up of a bird on a beach near water.,4.54455445544554
I768,Snake 2.jpg,a close up of a bunch of different animals.,3.07843137254902
I675,Rollercoaster 1.jpg,a group of people on a boat in the water.,5.44554455445545
I679,Roofing 2.jpg,a close up of a bird on a tree branch.,4.0594059405940595
I677,Rollercoaster 3.jpg,a group of people standing on top of a train.,5.108910891089111
I712,Scared face 4.jpg,a man in a white shirt is brushing his teeth.,2.9702970297029703
I852,Tornado 5.jpg,a person is flying a kite on the beach.,3.25
I854,Traffic 1.jpg,a train traveling down tracks next to a parking building.,4.62376237623762
I876,Wedding 3.jpg,a person holding a pair of scissors in their hands.,5.7843137254902
I857,Volcano 2.jpg,a large white and black boat in a body of water.,2.63725490196078
I883,Wedding 10.jpg,a woman is brushing her teeth with a toothbrush.,5.794117647058821
I640,Police 1.jpg,a man in a military uniform standing in front of a motorcycle.,2.58823529411765
I838,Tiger 2.jpg,a close up of a cat laying on the ground.,5.392156862745099
I888,Wolf 1.jpg,a polar bear standing on a rock in the snow.,5.45544554455446
I866,War 3.jpg,a man in a military uniform standing in front of a motorcycle.,3.46296296296296
I893,Yarn 3.jpg,a close up of a pair of scissors on a table.,4.303921568627451
I823,Swimming 1.jpg,a man riding a wave on top of a surfboard.,5.0594059405940595
I889,Wolf 2.jpg,a brown and white dog laying on top of a grass covered field.,3.08823529411765
I821,Surprise 1.jpg,a man in a wet suit holding a surfboard.,4.68627450980392
I877,Wedding 4.jpg,a wedding cake with a rear and holder on top.,5.8148148148148096
I841,Timber 3.jpg,a pile of apples sitting on top of each other.,4.12037037037037
I859,Wall 1.jpg,a white toilet sitting next to a white wall.,4.07843137254902
I824,Swingset 1.jpg,a close up of a bird on a wooden bench.,4.31372549019608
I884,Wedding 11.jpg,a vase filled with flowers sitting on top of a wooden table.,5.0196078431372495
I848,Tornado 1.jpg,a traffic light sitting on the side of a road.,2.09803921568627
I900,Zebra 1.jpg,a group of zebra standing next to each other on a field.,5.80555555555556
I894,Yarn 4.jpg,a close up of a person holding a pair of scissors.,4.203703703703701
I829,Thunderstorm 5.jpg,a close up of a vase with a flower in it.,4.7524752475247505
I832,Thunderstorm 8.jpg,a plane flying in the sky over a city.,4.372549019607839
I813,Sunset 4.jpg,a boat floating on a silver next to a forest.,6.107843137254901
I3,Acorns 3.jpg,a pile of carrots sitting on top of a cutting board.,4.754901960784309
I748,Sidewalk 5.jpg,a bunch of different colored veggies hanging from a wall.,4.46078431372549
I837,Tiger 1.jpg,a close up of a cat laying on a couch.,4.742574257425741
I891,Yarn 1.jpg,a close up of a pair of scissors on a table.,2.59803921568627
I798,Stingray 2.jpg,a close up of a bird on a rock.,4.754901960784309
I669,Rocks 2.jpg,a bunch of birds that are standing in the water.,4.30693069306931
I647,Present 1.jpg,a close up of a pair of scissors on a table.,5.50980392156863
I1,Acorns 1.jpg,a close up of a plastic container of food.,4.68627450980392
I890,Woods 1.jpg,a bear is standing in the middle of a forest.,3.7843137254902
I858,Volcano 3.jpg,a black and white photo of a horse grazing in a field.,4.38888888888889
I231,Destruction 8.jpg,a bunch of boats that are sitting in the water.,2.23529411764706
I782,Soldiers 1.jpg,a group of people standing on top of a sandy beach.,4.15740740740741
I872,Waterfall 1.jpg,a person riding a surf board on a body of water.,5.431372549019611
I887,Windmill 1.jpg,a kite flying in the sky with a sky background.,3.1666666666666696
I204,Dancing 6.jpg,a group of people standing next to each other.,5.80555555555556
I808,Sun 1.jpg,a close up of a person holding an open umbrella.,4.41584158415842
I822,Surprise 2.jpg,a little girl holding a cell phone in her hand.,5.29411764705882
I397,Goat 2.jpg,two sheep standing next to each other in a field.,5.203703703703701
I840,Timber 2.jpg,a pile of different types of fruit sitting on top of a wooden table.,4.33333333333333
I853,Torture chamber 1.jpg,a room filled with lots of wooden furniture.,3.36274509803922
I874,Wedding 1.jpg,a man wearing a suit and tie with a sort on his face.,5.67326732673267
I295,Excited face 4.jpg,a man in a suit and tie is smiling.,4.2475247524752495
