imageId|caption|label
I124|Colorful race cars going around a turn on a race track|neutral
I125|A group of colorful race cars going around a curve in a single line on a race track.|neutral
I126|Five race cars going around a track in tight formation.|neutral
I127|Stacked rows of brown corrugated cardboard.|neutral
I128|Multitude of new large brown cardboard sheets stacked horizontally.|neutral
I129|A top down view of an assembled cardboard box.|neutral
I13|An ambulance and an emergency doctor's car are on the side of a road.  Both vehicles are white with orange stripes.  A yellow helicopter is on the ground behind a tree in the background.|neutral
I130|A black and white cat with bright blue eyes, against a shadowy background.|positive
I131|A white and brown cat with green eyes standing on a rocky surface.|positive
I132|A black and white photograph of a kitten with a person touching its nose with his finger.|positive
I133|The face of a ginger cat lying sideways on the floor with its eyes closed.|positive
I134|Two very young kittens lying on a towel and peering around them.|positive
I135|A black and white cat with its eyes half closed and an angry expression on its face.|neutral
I136|A brown and white cat standing outside in front of grass. The cat has its back arched and its mouth open in an aggressive stance.|neutral
I137|A black cat's face with yellow eyes and white whiskers.|neutral
I138|A brown and white cat looking up with its eyes wide open and ears pointing forward.|positive
I139|A black and gray striped cat stretching itself.|positive
I14|An ambulance, a helicopter, and a fire truck are in a flat paved area. Several firemen are walking around.|neutral
I140|A brown and white cat lying down with its head resting on one cheek on the floor and its front leg extended.|positive
I141|A long-haired brown cat sitting on an icy ledge.|positive
I142|A beige and white cat with its eyes closed.|positive
I143|Two cats sitting next to each other with their eyes almost completely shut.|positive
I144|Five hockey players embrace in a tight circle.  They have their arms on each other's backs and hold their sticks pointing upwards.|positive
I145|A man in a hat holding five lit torches in front of water with other people standing behind him.  All appear in silhouette.|neutral
I146|The crosses of a graveyard with an overcast sky framing the orange glow of the setting sun.|neutral
I147|A large, nearly full moon shines down on a howling wolf in a graveyard.  Two crosses and a headstone are visible.  A flock of birds flies overhead.|neutral
I148|A large array of white crosses with some stars of David at a military cemetery.|negative
I149|A cemetery with neat rows of white gravestones|negative
I15|A haggard looking black man in a dirty t-shirt and knit cap with glasses perched on top of his head.|neutral
I150|A woman weeping over the stone of a buried person in a cemetery  She is putting her hand on the stone and bending over.|negative
I151|A football cheerleader in her cheerleading costume holding pompoms in her hands|positive
I152|A cheerleader with pompoms with her head tilted to one side.|positive
I153|A group of male workers, mostly children in a factory.|neutral
I154|Young boys working in a factory|negative
I155|A group of paper boys holding up copies of their newspapers.|neutral
I156|A young girl working in a textile mill.  She is facing a collection of yarn spinners.|neutral
I157|A girl and a boy chasing each other for fun.|positive
I158|Chipmunk holding a green okra in his two front paws while standing on a mound of dirt.|positive
I159|A squirrel with his feet at the rim of a container held by somebody's hands.  The person's fingers can be seen through the container.|positive
I16|A brown haired woman in a black turtleneck sweater, showing her teeth and scrunching up her nose in an angry manner.|neutral
I160|A brown squirrel resting on top of a cut-off branch.|positive
I161|An overhead view of a city full of tall buildings.|neutral
I162|Purple lavender soap, cream, lotion, and bath foam, in front of some sprigs of  fresh lavender.|positive
I163|A man diving from a high fenced area into the ocean.|neutral
I164|A man leaps from a diving platform to begin a dive into the ocean below.|positive
I165|One man diving and another man jumping feet first into a river.|positive
I166|A cockroach flipped upside down, lying on a red floor with rocks embedded in it.|negative
I167|A brown cockroach with spiky legs on a flat surface|negative
I168|Orange and black bugs, crawling on brown wood.|negative
I169|A cockroach with a brown, white and salmon markings on its back.|negative
I17|A man with a shaved head.  His eyes are narrowed and his mouth is open, with the top row of teeth showing.  He is in front of a painting.|negative
I170|A cup of coffee with a heart shape made in milk foam, on a saucer with a teaspoon.|positive
I171|A large ship with smoke rising from its funnel, followed by a smaller two-masted ship.  They are surrounded by sea ice.|neutral
I172|An old-fashioned sled with curved wooden runners and red striped fabric on top, sitting in the snow.|neutral
I173|A dried maple leaf lying in the snow with a sprinkling of snow on it.|neutral
I174|A styrofoam snowman with black bead eyes and a red bead nose wearing a red knitted scarf and winter hat.|positive
I175|Frost on a window pane forming intricate fractal shapes|positive
I176|A man skiing down an untouched sharp sloped hill filled with powdery white snow with skis parallel, his weight on the back, and his poles in the air.  He is wearing a white helmet, red jacket, grey snow pants.|neutral
I177|A leafless tree, covered in snow. The ground below the tree is also covered in snow, and tracks can be seen to the right of the tree.|positive
I178|Two snowmen with carrot noses and eyes in a snowy field.|positive
I179|Six hands resting on each other. One of the wrists has a purple band around it. Another one has a white watch.|positive
I18|A closeup of a man's face with squinting eyes and black and white stubble growing.  His expression looks angry.|negative
I180|Blue and while cotton swabs sitting in a container.|neutral
I181|Seven cotton swabs lying on a grey surface.|neutral
I182|Q-tips in a jar, a few  show the handles in blue and yellow color|neutral
I183|A man and a woman kissing with the glare of the sun obscuring their faces.|positive
I184|A man and a woman with their arms around each other, sitting on a white bench in front of a large house. The man is carrying a bouquet of flowers.|positive
I185|A woman sitting apart from a man on one end of a bench by a lake while looking away.|neutral
I186|A man and woman embracing at the water's edge on a beach. The woman is leaning backwards while the man supports her.   She is wearing a white wedding dress and veil.  The man is wearing a black suit.|positive
I187|A grey and white monkey kneeling on the ground as it grooms another monkey which is lying on the ground in front of it.|neutral
I188|A man embracing a woman from behind with his arm around her neck and shoulders.|positive
I189|A young man and woman embracing at the entrance of a wooden building.  The woman is barefoot, with her shoes visible to the left.  She wears a blue dress and a headband.  The man has on a blue shirt and dark pants.|positive
I19|A man with a beard and mustache looking sternly at the camera. Half of his face is obscured in darkness while the other half is lit by a red light.|negative
I190|A woman is kissing a smiling man on the cheek|positive
I191|A man and a woman with their arms around each other, facing a large house and sitting on a wooden bench.  They are facing a big house with a garden.  The woman is holding a bouquet of red flowers.|positive
I192|An intersection of two roads with pedestrian crossing marks.|neutral
I193|A crow perched on the roof eyeing something intently.|neutral
I194|A crow perches on a tree branch.|neutral
I195|Two brown mugs with white insides.  One of them is lying on its side.|neutral
I196|Five white mugs on a white countertop. Two mugs have stir sticks inside them|neutral
I197|White, green, blue, and yellow cups, sitting on a blue surface.|neutral
I198|A group of clean drinking glasses stacked up on a reflective surface.|neutral
I199|A man doing a cartwheel in a grass field.   He is wearing sneakers and a t-shirt.  The photo has been taken with a wide-angle lens.  It is black and white, except for the sky, which is dark blue.|positive
I2|Three acorns are on a flat surface.  One acorn is missing its cap.  Two caps are to the left of the acorns.  The acorns and caps are casting long shadows on the surface.|neutral
I20|A dark-haired man with his mouth wide open and his index finger pointed towards the camera.  He seems to be yelling.|negative
I200|A ballerina doing a pirouette with the raised leg extended straight out.|positive
I201|Boys participating in a ritual dance holding spears and dressed in tribal grass clothing in front of a hut.|neutral
I202|A couple dancing the tango.  She wears an ankle length skirt with bright pink streamers.|positive
I203|An old couple dancing, the woman is smiling, looks down  and has her head close to him.  The brim of the man's hat is coming over her hair, he is wearing a scarf and is looking forward.|positive
I204|A group of hula dancers in green floral dresses with green and yellow leis around their necks.  They have garlands around their heads, wrists, and ankles.|positive
I205|Three girls in a ring holding hands.  They are outdoors.  They have brown skin and straight black hair.|positive
I206|A group of young girls wearing ethnic dresses holding hands and dancing.|positive
I207|Six women dancing, wearing large silver and red headdresses and bright yellow dresses. They are holding their hands on their hips.|positive
I208|A row of blood spattered bodies laid out on the floor.|negative
I209|The dead body of a youngster lying on the ground amongst other dead bodies.|negative
I21|A black and white picture of a person with his hands on his head, grimacing.|negative
I210|A partially clothed body lying on the ground.|negative
I211|A face of a woman wearing glasses and looking down with a pensive look.|neutral
I212|An old man with a white moustache and a deeply lined face.|neutral
I213|A black and white photo of a man in a plaid shirt holding his head in his hands.|negative
I214|A black and white photo of a man with his hands above his head pressed against a glass wall. The man is wearing a wristwatch and a necklace.|neutral
I215|A black and white photo of a woman sitting on the ground with one hand over her face and the other on top of her head.|negative
I216|Profile view of a man with stubble-length hair and beard.  His head is lowered and his eyes are closed.  The fingertips of his left hand are resting on his forehead.|neutral
I217|A signpost with handwritten signs in front of two rusting car bodies on a prairie.|neutral
I218|A two-layer square cake.  It has white icing with purple dots and large purple flowers on top.|positive
I219|An array of cupcakes decorated on top with the faces of different animals.|positive
I22|A bird stands on the bones of a recently killed animal.|negative
I220|A brown cake with chocolate on the bottom, and orange slices and two white flowers on top.|positive
I221|A bowl of light brown and dark brown cookies, sitting on a wooden surface.|positive
I222|A glass plate filled with profiteroles, and decorated with a few mint leaves and cherries, sprinkled with fine sugar.|positive
I223|A deep glass cup with a vanilla ice cream sundae, chocolate sauce, whipped cream and a cherry on top.|positive
I224|A pumpkin pie with one slice cut out sits in a basket on a table.  The missing slice is on a nearby plate.  Canned pumpkin and whole pumpkins are behind it.|positive
I225|A boy wearing a black and white striped hat, licking a chocolate and vanilla swirl ice cream cone.|positive
I226|Helmeted construction workers standing on a damaged building in front of flags, under a threatening sky.|neutral
I227|Metal sheeting, wood, and debris lying on the ground in front of a small house.|negative
I228|A dirty American flag and white shoe, lying in broken wood with plants growing through it.|negative
I229|A group of women looking at a destroyed brick building, standing in front of a destroyed fence post and a pile of rubble.|negative
I23|A large brown lizard eating the rotting flesh of a dead animal.|neutral
I230|A tree with garbage hanging off it, in front of a wooden structure that has been destroyed and is also covered in garbage. A blue car is in the background.|negative
I231|A wrecked red Corvette, surrounded by broken wood and other trash. Gatorade and water bottles sit on a black table in front of it|negative
I232|A destroyed house in which the roof has fallen down onto the rest of the house.  Across the yard, an American flag is tied to a post on top of a brick structure.|neutral
I233|The smashed remains of an automobile in a pile of metal debris.|negative
I234|A parched piece of earth with cracks running in every direction.|negative
I235|A fire-damaged building with one section collapsed. An American flag hangs from the building. There are disaster relief vehicles with long cranes in front of the building.|negative
I236|A trash pile with wheels and axle parts from a machine or vehicle|negative
I237|An unpaved road that goes through a field towards some mountains in the distance.|positive
I238|Dried brown leaves on bare soil. Half of the area is in shade and half sunny.  A bare wooden branch is across the top.|neutral
I239|Dry brown mud with dips and ridges.|neutral
I24|Two hyenas eating a four-legged animal in the grass, with two vultures watching behind them.|negative
I240|Parched earth with cracks running in every direction.|neutral
I241|A dock on a lake with some boats. The silhouette of a city is visible in the background.|positive
I242|A bespectacled person wearing a surgical mask and cap looking through the eyepiece of an instrument.|neutral
I243|Surgeons in masks, caps and gowns operating on a patient.|neutral
I244|A dental professional with a mask and safety glasses holding a drill in a gloved hand.|neutral
I245|A surgical team operating on a patient.  The surgeon is looking through a magnifying apparatus.  Five other doctors and nurses surround him.|neutral
I246|A doctor in a surgical mask, cap, gown and gloves.|neutral
I247|A scientist in a lab coat holding a container half-filled with a blue liquid.  His other hand is holding his eyeglasses.|neutral
I248|A surgeon operates on a draped patient, assisted by a nurse.  Various instruments are around the lower part of the patient's body and an imaging device is over his exposed skin.|neutral
I249|A surgeon and his helper operating on a patient.  The surgeon is wearing a camera supported by the headband.  Both men wear surgical masks and white gloves.  A wall clock is in the background and two lights are on the ceiling.|neutral
I25|A jackal with its paw on the head of a dead antelope.|neutral
I250|Doctors and nurses wearing surgical masks, caps, gowns and gloves operating on a patient.|neutral
I251|Two sled dogs in harness, running across a snowy field.|positive
I252|A black and brown dog with floppy ears sitting in the grass.|positive
I253|A black and tan german shepherd sitting on its haunches.|positive
I254|A little white puppy lying on the green grass with a pink flower on its head.|positive
I255|A brown and white puppy, resting its chin on a pile of toys.|positive
I256|A little brown and tan puppy peering out of a polka dot cup resting on a grassy surface inside a fence.|positive
I257|A husky lying with its face chin down on the ground and with its blue eyes open.|positive
I258|Three black and tan dogs lie side by side in a field of stubble.  All are staring at something to their left.  The dog in the middle has his tongue hanging out.|positive
I259|A medium sized black and brown dog with stubby ears and a greying muzzle that is standing on a gravel and mulch bed.|neutral
I26|The headless carcass of a deer or antelope with some of its ribs exposed.|negative
I260|A white poodle with a collar looking towards us in the middle of a grassy path.|positive
I261|A brown dog sitting on a garden path.  His mouth is open and his mottled tongue is hanging out.  He has a chain collar around his neck.|positive
I262|A brown and white beagle wearing a black collar, sitting with its mouth open.|positive
I263|A brown and white dog, with its mouth open and teeth showing. The brown part of the dog covers only one eye.|positive
I264|A little terrier with its tongue hanging out and a bow on its head.|positive
I265|A wet dog holding a stick in its mouth.|neutral
I266|A little brown puppy dog with a black muzzle standing on bowed legs.|positive
I267|An alert black and tan dog with its ears perked up and lying with its chin on the grassy field.|positive
I268|A short-haired brown dog and a guinea pig, lying side by side on a red couch.|positive
I269|A dog on a leash with its mouth open, looking alertly towards the camera.|positive
I27|A pride of lionesses feeding on the carcass of a freshly killed zebra.|negative
I270|A white dog running across the grass with its ears flying.|positive
I271|A long-haired brown and white dog in a garden with a green tag hanging from his neck.|positive
I272|A brown dog lying down with its eyes open and resting its head next to its front paw.|positive
I273|A black and white dog sticking his muzzle out between the bars of an enclosure.|negative
I274|A mangy looking dog with some orange peels by its feet.|negative
I275|A dog with brown and black fur lies with his chin on the ground and looks up inquiringly. A green and black rope is tied to his collar.|neutral
I276|A mangy dog looking back with a grievous scab near its tail|negative
I277|A black dog with floppy ears resting his muzzle on a wall and looking out.|positive
I278|A dog lying on its back on a couch looking towards the viewer.|positive
I279|A mostly white dog with one brown ear lying on grassy ground.|positive
I28|A man in a flannel shirt and brown hat shooting an arrow from a bow.|neutral
I280|A little dog with bows in its hair lying with its muzzle on the carpet.|neutral
I281|A brown dog with his paws and nose up against a fence and looking through it.|negative
I282|A man wearing a camouflage U.S. air force uniform holding the leash of a dog which is biting an object in the foreground.|negative
I283|A man wearing protective gear being bitten in the arm by a large dog.|neutral
I284|A dog attacking a man running away from it.|negative
I285|A glass of red wine a quarter full on a blue table with the background out of focus.|neutral
I286|Three shot glasses containing a brown liquid, sitting on a black reflective surface.|neutral
I287|A bloody human body with its face blown off.|negative
I288|A girl eating food on a tray.  She has black hair, pink fingernails, and gold earrings.  Similarly dressed children are visible in the background.|positive
I289|A smiling young woman holding a green apple.  She has brown eyes and hair and has two earrings in her ear.|positive
I29|A woman preparing to shoot an arrow at a target with four bullseyes on it.|neutral
I290|A happy young boy eating a red radish.|positive
I291|Two young elephants with their trunks on each other, with an adult elephant standing behind them.|positive
I292|A woman with her hair in a spiky style and wearing a karate outfit talking.|positive
I293|A young girl looking up and over her shoulder with an expression of delight on her face.|positive
I294|Two happy young boys smiling, one has blond hair and blue eyes, the other has brown hair and eyes.|positive
I295|A chef whose mouth is open, wearing a white paper hat and blue shirt with an embroidered star on the lapel|neutral
I296|A dark-haired boy standing behind a girl with a nose-ring.|positive
I297|A girl sitting at a desk with a pencil in her hand and writing in a note book, with a large smile on her face.|positive
I298|A freckled boy with braces on his teeth.  He is wearing a red helmet with a grate across the face.|neutral
I299|A man doing pushups on an athletic field with his head close to the grass.|neutral
I3|Five acorns arranged in a circle on a black background. Slightly wilted leaves are next to the acorns.|neutral
I30|An astronaut on a space walk with the earth in the background.  The spacecraft is reflected in his face mask.|positive
I300|A black man lifting a barbell while five white men and one woman watch.|neutral
I301|Two groups of men rowing in black rubber rafts with green oars.  They are wearing camouflage pants.|neutral
I302|An airplane on a runway with an enormous red and orange explosion behind it.|negative
I303|A silhouette of burnt trees in front of a large fiery explosion.|negative
I304|An armed helicopter flying in front of the flames of an explosion.|negative
I305|A fiery inferno forming patterns of vivid red, orange and black regions.|negative
I306|An enormous mushroom cloud rises from Bikini Atoll.|negative
I307|A fiery explosion above a kitchen counter outdoors on a movie set.|negative
I308|A man asleep with a sleeping little baby lying on him just beside and below his right cheek.|positive
I309|A pile of horse dung on sandy soil.|negative
I31|A man in a space suit shakes hands with a robot designed for space.|positive
I310|A pile of dog feces lying on the grass.|negative
I311|A chain link fence just in front of a yellow wall on which it is casting shadows.|neutral
I312|A wrought iron fence or gate with twisted bars interspersed with twisted bulb shapes.|neutral
I313|A black chain-link fence with some round lights visible on the other side.|neutral
I314|A chain-link fence with a strand of barbed wire.|negative
I315|A chain-link fence with blue sky behind it.|neutral
I316|A garden fence with a rose bush, a lawn and a house behind it.|neutral
I317|A brown weasel baring its fearsome teeth in a snarl.|negative
I318|A man breathing fire from his mouth.  He wears a turban and several necklaces.|neutral
I319|A chair and some branches sitting in front of a large fire.|negative
I32|An infant grasps an adult finger in his hand.|positive
I320|A fire truck directing a stream of water at a huge fire.|negative
I321|A fire engulfing bushes by the shore of a lake after sundown.|neutral
I322|A huge fire consumes stacks of wooden pallets.|negative
I323|A roaring fire, with timber silhouetted in the bottom of it and red embers visible among the timber.|negative
I324|A car engulfed in flames with thick black smoke rising from it.|negative
I325|A line of people who are blowing fire out of their mouths.|neutral
I326|A man-made structure engulfed in rising flames.|negative
I327|Blackened branches in the foreground and fire in the background.|negative
I328|A forest is consumed by flames.  A river in the foreground has two deer standing in it.|negative
I329|A bright red fire hydrant surrounded by a steel bars.|neutral
I33|A baby boy lying on his stomach and looking upwards.|positive
I330|A bright red fire hydrant.|neutral
I331|A silver fire hydrant with a red top against a wall and some vegetation.|neutral
I332|A fire hydrant against a stone wall with plants on either side of it.|neutral
I333|A deputy fire chief standing in front of a smouldering heap and pointing to something with his left hand.|neutral
I334|Green, yellow, pink and blue fireworks in burst patterns in the sky.|positive
I335|A string of colorful starburst fireworks above a lakeside town|positive
I336|Colorful fireworks in front of highrise buildings of a waterside city.|positive
I337|Yellow fireworks going off in the black sky.|positive
I338|A yellow firework going off in a black night sky.|positive
I339|Red and yellow starburst fireworks exploding in a night sky.|positive
I34|A baby of East Asian appearance lying on his belly with his head lifted up.  He is wearing a knit cap and is looking up at something to his right.  He has a teddy bear next to him and several larger bears behind him.|positive
I340|Many red fireworks going off in the night sky, leaving white trails behind them.|positive
I341|A flooded river flowing under a bridge carrying vehicular traffic.  The flood waters have partially covered a road and surrounded a tree.|negative
I342|Two people walking on a bridge above a body of water. The water has risen to a high level and is partially covering street signs below the bridge. There are pieces of plant matter floating in the water.|negative
I343|Ducks swimming on a tree-lined flooded street.|negative
I344|Green, red, pink, white, and yellow flowers above a black stone surface.|positive
I345|A bouquet of pink flowers containing mostly full blown roses, carnations and daisies.|positive
I346|Close up of a pink Gerbera daisy among other flowers.|positive
I347|A bouquet of red, pink and yellow roses.|positive
I348|A bouquet of white and pink flowers with green leaves.|positive
I349|A bunch of red roses with a couple of green leaves visible between them.|positive
I35|A man dressed in black shirts holding a new born baby.|positive
I350|A bouquet of blue and white flowers mixed with green leaves.|positive
I351|A bouquet of flowers with red roses, purple anemones and baby's breath.|positive
I352|Two wedding rings sitting on a bunch of pink roses.|positive
I353|The feet of a man dressed in orange robes, walking on pink, red, and white flower petals.|positive
I354|Pasta salad with olives and tomatoes|neutral
I355|A large platter of various kinds of sushi, with more sushi in the background.|positive
I356|A bowl of oranges. Four of the oranges are cut in half.|positive
I357|A table with roasted meat, sausages, bell peppers pickles and cucumbers.  There are two unopened bottles of beer on the table.|positive
I358|Several containers of raspberries.|positive
I359|Several skewers are on a grill.  They contain bell peppers, onions, and meat.|positive
I36|A baby girl is on all fours at a beach.  She is wearing a white dress with red trim.|positive
I360|A football player is carrying the ball, while a player on the ground tries to pull him down by tugging on the sleeve of his jersey with both hands.|neutral
I361|A frisbee team with some holding frisbees lined up for a group photograph on a playing field.|positive
I362|A dirty and damaged photograph of a woman with messy hair holding her head in her hands.|negative
I363|A man holding his head in his hands.|negative
I364|An old man with unkempt hair sinking his face into his left hand.|negative
I365|A black and white picture of a man with a beard and dark hair, wearing a white collared shirt and pressing a hand to his forehead.|neutral
I366|A person sinking his head into his hands and looking down.|negative
I367|A woman with her eyes squeezed shut and wearing glasses, holding an object between her teeth while lifting up her long hair with her hands.|neutral
I368|A man holding his head in his head in despair.|negative
I369|A shirtless man straining to open a bottle of pickles.|neutral
I37|A small baby asleep on its side.|positive
I370|A man walks amidst the crosses marking graves in a cemetery.|negative
I371|A spiral galaxy with a brightly glowing central region.|positive
I372|A close-up view of stars in a night sky with a large bright nebula in the center.|positive
I373|The planets of the solar system over a cratered landscape.|positive
I374|Streams of colorful plasma in an alien world with a circular object in the foreground and another visible in the background.|positive
I375|A planet in space with stars visible around it.|positive
I376|A crater-covered planet with an intense spot of light near its top.   Stars and shooting stars fill the space around it.|positive
I377|Horsehead nebula with the pink light of hydrogen from protostars illuminating the background.|positive
I378|A blue, red, and yellow image of space, with a cloudy nebula in the center and stars around it.|positive
I379|A large scrap metal pile containing cars and appliance parts.|negative
I38|A crying baby with its eyes closed and its mouth open.|negative
I380|Many bottles and other litter lying on the sand at a beach, with the water visible behind them.|negative
I381|A pile of metal garbage. A turquoise car is in the bottom right hand corner of the image.|negative
I382|A shopping cart abandoned in a trash strewn environment.|negative
I383|Magazines and pieces of cardboard boxes lying in the dirt.|negative
I384|Rusted tins and empty bottles strewn over an area.|negative
I385|Collection of glass recycled bottles and jars.|negative
I386|Brightly colored plastic and paper trash strewn around.|negative
I387|A gargoyle in the form of a monster with pointy teeth and long nails.|neutral
I388|A gargoyle in the form of a bewigged man with an open mouth sticks out at right angles from the wall of a cathedral.|neutral
I389|A woman sits with her back to the camera looking out over a town.  The scene is dark.|neutral
I39|Two unclothed smiling little babies in colorful skull caps looking out from behind a blanket.|positive
I390|A man gazing out while standing on a rock on a seashore in twilight with shallow water around.|positive
I391|A young child gazing at something with his right hand in his mouth.|positive
I392|The back of a man standing at the edge of a dock facing the water with his hands clasped behind his head.|neutral
I393|A silhouette of a man with hills behind him. The man is posing to make it look as if he has the setting sun in his hand.|positive
I394|A young girl sitting in front of dandelions and blowing one in her hands.  Some pieces are in the air and some left to blow.  She has long blond hair and wears a hat.|positive
I395|A man sitting cross-legged on a wall looking across the water towards a large city with high rise buildings in the background.|neutral
I396|A long-haired goat sitting on the ground with its eyes closed and its head held up.|positive
I397|A white goat standing on hay and green grass, with its head low to the ground.|positive
I398|A gorilla resting his head on one hand while touching grass with his other hand. It is sitting in a grassy enclosure with a few trees.|neutral
I399|A close up of rough green grass.|neutral
I4|Two cocktails are on a brown wooden table.  The cocktail in front is white and one behind it is brown.  Two napkins with a logo on them are under the cocktails.|neutral
I40|An Asian baby sucking her left hand while looking down.  She is wearing a blue knitted hat with a big red bow on it and a red dress with a white bow.  She has has a bracelet on her hand.|positive
I400|A close look at a strand of healthy green grass.|neutral
I401|Tall green grass with drops of dew all over.|positive
I402|A field of green tall grass.|positive
I403|Green grass with droplets of water on it.|neutral
I404|A green field on a gentle slope set against a bright blue sky with not a single cloud|positive
I405|Close up of tall green grass with the background depicting more grass out of focus.|neutral
I406|Sunset in a small cemetery.|neutral
I407|Gravestones in a cemetery with trees around the cemetery.|neutral
I408|Eight cross-shaped grave markers, standing in a green field with the blue sea visible in the background.|neutral
I409|A cemetery with rows of crooked and fallen headstones and overgrown green grass.|neutral
I41|A boy and a teddy bear sit together on a wooden bridge.|positive
I410|A man playing a guitar, sitting on a big stone and wearing a head scarf.  In the background is a lake with mountains.|positive
I411|A handgun lying on a surface with its muzzle pointing towards the viewer.|negative
I412|A bearded man holding a rifle casually with low buildings and mountains visible in the background.|negative
I413|A machine gun set up on sand bags.|negative
I414|A rifle with a scope and a bipod stand sitting on a blue table with a green light illuminating the background.|negative
I415|A gun lying on a table with seven bullets next to it.|negative
I416|Dark silhouettes of different types of guns, rifles and a grenade.|negative
I417|A menacing looking machine gun against the background of a blue sky.|negative
I418|A man in a black jacket wearing a gold wedding ring, opening a shotgun with a wooden handle and exposing two shells.|neutral
I419|A black rifle with a scope attached, lying next to a camouflage pattern rifle bag.|negative
I42|A marching band stands in a field in front of a crowd.  They wear red and black pants, jackets, and shakos.  The shakos have long white plumes.|neutral
I420|A sniper's rifle on a bipod with a scope attached.|negative
I421|A stone passage with two black pipes running along it, supported on stone posts.  There are filled-in window openings with X's marked above them.  The floor appears wet.|negative
I422|A hang glider taking off from the side of a mountain with a town below.|positive
I423|Two men helping to launch a hang glider on a sandy beach.|positive
I424|A man in a hang glider running down a mountain slope.|neutral
I425|A bald man with his head down on a wooden table.  He grasps an empty liquor bottle in his right hand.  A shot glass can be seen behind his left arm.|negative
I426|A young boy smiling, he is in foreground and has blond hair and blue eyes.  Another boy in the background is smiling but more pensive holding his chin in his hands.  He has brown hair and eyes and is wearing a blue and white shirt.|positive
I427|A young man smiling. He is wearing black glasses, is white, has short hair, and is wearing a gray T-shirt.|positive
I428|A man in sandals, shorts, and a white shirt, jumping with his hands above his head and his legs pulled behind him over a brown field. In the background, mountains can be seen.|neutral
I429|Young men and women wearing suits and dresses, carrying red and yellow balloons and looking up.|positive
I43|A black man with a beard and dreadlocks, standing at a microphone and holding a guitar.|positive
I430|A boat sailing towards a bridge, on which four people are jumping into the air. A lens flare is behind the people.|positive
I431|A heart-shaped keyhole on a brown wood surface.  It is held in place by three screws.|neutral
I432|Orange heart-shaped lock on a chain link fence with tall trees in the background.|neutral
I433|A heart-shaped detail of a wrought iron fence.|neutral
I434|Two nuzzling horses, one with a white and brown head and brown mane, the other with a brown head and blonde main, in a grassy field.|positive
I435|A jockey galloping on a brown racehorse.|neutral
I436|A house with an ornately carved stone doorway.  The wall on one side is decorated with tiles.  The window bars and lamp post are wrought iron.|neutral
I437|The right foot of a woman exhibiting a long wound that is partially healed.|negative
I438|The back of an old person's hand with a scab that is bleeding around the edges.|negative
I439|The back of the hand of an old man with a wound exposing the bloody flesh.|negative
I44|A bar with beer taps.  A glass of dark beer with a shot of whiskey beside it are on the bar. Two rows of liquor bottles are on shelves in back.|neutral
I440|A man wounded and bleeding in the operating room.  He has a tube going into his left leg straps around both legs and blood and black material coming out of his legs.|negative
I441|A red-faced woman with brown hair, baring her teeth angrily.|negative
I442|Two rows of barred prison cells with a narrow walkway between them.|negative
I443|A grimy prison cell with metal bunks and a washstand.  The rear wall is covered with graffiti.|negative
I444|A red barber chair with white arm rests in a decaying building with stone walls. Debris is around it.|negative
I445|Iron bars across a prison cell with a bed visible between the bars.|negative
